player_id,player_name,team_id,team_abbreviation,gp,w,l,min,min1,dist_feet,dist_miles,dist_miles_off,dist_miles_def,avg_speed,avg_speed_off,avg_speed_def,date
201171,Carl Landry,1610612758,SAC,1,0,1,17.38,17.38,6183,1.17,0.7,0.47,4.14,4.04,4.3,10/29/2014
2430,Carlos Boozer,1610612747,LAL,1,0,1,23.02,23.02,7363,1.39,0.79,0.6,3.64,3.87,3.39,10/29/2014
2546,Carmelo Anthony,1610612752,NYK,1,0,1,28.8,28.8,10533,1.99,1.1,0.89,4.17,4.07,4.3,10/29/2014
2406,Caron Butler,1610612765,DET,1,0,1,22.8,22.8,8567,1.62,0.89,0.73,4.22,4.54,3.87,10/29/2014
201978,Chase Budinger,1610612750,MIN,1,0,1,14.78,14.78,5373,1.02,0.59,0.43,4.09,4.7,3.42,10/29/2014
2365,Chris Andersen,1610612748,MIA,1,1,0,24.17,24.17,8648,1.64,0.87,0.77,3.98,4.43,4.02,10/29/2014
2547,Chris Bosh,1610612748,MIA,1,1,0,39.13,39.13,13145,2.49,1.35,1.14,3.85,4.22,3.46,10/29/2014
203142,Chris Copeland,1610612754,IND,1,1,0,26.18,26.18,9561,1.81,0.9,0.91,4.13,4.15,4.11,10/29/2014
203187,Chris Johnson,1610612762,UTA,1,0,1,32.2,32.2,12982,2.46,1.24,1.22,4.67,5.04,4.04,10/29/2014
2549,Chris Kaman,1610612757,POR,1,1,0,21.5,21.5,7433,1.41,0.72,0.68,3.9,4.07,3.73,10/29/2014
203921,Cleanthony Early,1610612752,NYK,1,0,1,6.72,6.72,2644,0.5,0.27,0.23,4.47,5.44,3.53,10/29/2014
203469,Cody Zeller,1610612766,CHA,1,1,0,19.82,19.82,8052,1.53,0.89,0.63,4.54,5.23,3.8,10/29/2014
202332,Cole Aldrich,1610612752,NYK,1,0,1,16.98,16.98,6218,1.18,0.67,0.51,4.24,4.55,3.88,10/29/2014
201147,Corey Brewer,1610612745,HOU,1,0,1,26.52,26.52,9530,1.8,0.94,0.87,4.08,4.13,4.04,10/29/2014
203928,Cory Jefferson,1610612751,BKN,1,0,1,8.82,8.82,3490,0.66,0.3,0.36,4.79,4.94,4.67,10/29/2014
201584,Courtney Lee,1610612763,MEM,1,1,0,35.5,35.5,13516,2.56,1.42,1.14,4.4,4.67,3.78,10/29/2014
201571,D.J. Augustin,1610612760,OKC,1,0,1,28.2,28.2,10546,2,1.15,0.85,4.27,4.98,3.51,10/29/2014
203081,Damian Lillard,1610612757,POR,1,1,0,29.63,29.63,10808,2.05,1.15,0.89,4.05,4.92,3.6,10/29/2014
204014,Damjan Rudez,1610612754,IND,1,1,0,14.82,14.82,5697,1.08,0.58,0.5,4.47,4.71,4.21,10/29/2014
201568,Danilo Gallinari,1610612743,DEN,1,1,0,18.3,18.3,6685,1.27,0.66,0.61,4.27,4.72,3.85,10/29/2014
