game_id,player,season,date,team,opponent,location,city,w_l,route,distance,tz,flight_time,team_rest,player_rest,games_played,mins,pts,shift_hrs,fgm,fga,pct_fg,fg3m,fg3a,pct_fg3,pct_ft,fg2m,fg2a,pct_fg2,ftm,fta,oreb,dreb,treb,ast,stl,blk,tov,pf,plusminus,b2b,b2b_1st,b2b_2nd,x3in4,x4in5,x5in7,traveling_west,traveling_east,pctEFG,pctTS,pctUSG,ortg,drtg,netrtg,pacePer40PACE_PER40,ratioPIE,avg_PIE,PIE_above_season_avg,extra_rest,type_of_rest
21100295,Kawhi Leonard,2011-12,2012-01-29,San Antonio Spurs,Dallas Mavericks,Away,Dallas,L,Minneapolis - Dallas,862,America/Chicago,~1.92 hours,1,1,21,24,6,0,3,9,0.333,0,0,0,NA,3,9,0.3333333333333333,0,0,2,4,6,1,0,0,0,1,-10,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.333,0.333,0.167,79.1,102.3,-23.3,72.26,0.077,0.11321874999999999,-0.036218749999999994,0,no load manage
21100303,Kawhi Leonard,2011-12,2012-01-30,San Antonio Spurs,Memphis Grizzlies,Away,Memphis,W,Dallas - Memphis,419,America/Chicago,~55.87 minutes,0,0,22,32,12,0,6,11,0.545,0,0,0,0,6,11,0.5454545454545454,0,1,4,6,10,1,2,1,1,0,4,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.545,0.524,0.169,84.7,78,6.8,74.55,0.244,0.11321874999999999,0.13078125000000002,0,no load manage
21100323,Kawhi Leonard,2011-12,2012-02-01,San Antonio Spurs,Houston Rockets,Home,San Antonio,W,Memphis - San Antonio,631,America/Chicago,~1.4 hours,1,1,23,8,3,0,1,5,0.2,0,1,0,0.5,1,4,0.25,1,2,1,0,1,1,1,0,1,1,-15,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.2,0.255,0.35,56.3,150,-93.8,76.04,-0.054,0.11321874999999999,-0.16721875,0,no load manage
21100328,Kawhi Leonard,2011-12,2012-02-02,San Antonio Spurs,New Orleans Hornets,Home,San Antonio,W,No Travel,0,America/Chicago,-,0,0,24,12,2,0,1,1,1,0,0,0,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,-4,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,1,0.045,100,126.3,-26.3,65.64,0.073,0.11321874999999999,-0.04021875,0,no load manage
21100350,Kawhi Leonard,2011-12,2012-02-04,San Antonio Spurs,Oklahoma City Thunder,Home,San Antonio,W,No Travel,0,America/Chicago,-,1,1,25,31,15,0,5,7,0.714,3,3,1,1,2,4,0.5,2,2,1,5,6,5,1,1,0,3,15,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0.929,0.952,0.118,119.4,95.2,24.2,79.4,0.186,0.11321874999999999,0.07278125,0,no load manage
21100363,Kawhi Leonard,2011-12,2012-02-06,San Antonio Spurs,Memphis Grizzlies,Away,Memphis,W,San Antonio - Memphis,631,America/Chicago,~1.4 hours,1,1,26,28,4,0,1,4,0.25,1,2,0.5,0.5,0,2,0,1,2,0,2,2,0,1,0,1,1,-4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.375,0.41,0.097,83.6,86.2,-2.6,80.97,0.013,0.11321874999999999,-0.10021875,0,no load manage
21100374,Kawhi Leonard,2011-12,2012-02-08,San Antonio Spurs,Philadelphia 76ers,Away,Philadelphia,W,Memphis - Philadelphia,882,America/New_York,~1.96 hours,1,1,27,23,2,1,1,4,0.25,0,0,0,NA,1,4,0.25,0,0,1,2,3,0,2,0,0,2,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.25,0.25,0.082,118.6,97.7,20.9,77.04,0.016,0.11321874999999999,-0.09721874999999999,0,no load manage
21100403,Kawhi Leonard,2011-12,2012-02-11,San Antonio Spurs,New Jersey Nets,Away,Newark,W,Philadelphia - Newark,70,America/New_York,~55 minutes,2,2,28,27,5,0,1,2,0.5,1,1,1,1,0,1,0,2,2,3,5,8,0,2,1,0,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.75,0.868,0.053,111.8,108.2,3.6,74.51,0.121,0.11321874999999999,0.0077812500000000034,0,no load manage
21100422,Kawhi Leonard,2011-12,2012-02-14,San Antonio Spurs,Detroit Pistons,Away,Detroit,W,Newark - Detroit,476,America/Detroit,~1.06 hours,2,2,29,19,11,0,4,6,0.667,2,3,0.6666666666666666,1,2,3,0.6666666666666666,1,1,0,4,4,1,2,1,3,2,-7,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.833,0.854,0.196,108.8,125.7,-16.9,73.8,0.174,0.11321874999999999,0.060781249999999995,0,no load manage
21100429,Kawhi Leonard,2011-12,2012-02-15,San Antonio Spurs,Toronto Raptors,Away,Toronto,W,Detroit - Toronto,207,America/Toronto,~55 minutes,0,0,30,15,0,0,0,1,0,0,1,0,NA,0,0,0,0,0,0,2,2,1,0,0,0,0,-5,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0.03,109.4,125,-15.6,83.95,0.029,0.11321874999999999,-0.08421875,0,no load manage
21100456,Kawhi Leonard,2011-12,2012-02-18,San Antonio Spurs,Los Angeles Clippers,Away,Los Angeles,W,Toronto - Los Angeles,2179,America/Los_Angeles,~4.84 hours,2,2,31,18,4,-3,2,6,0.333,0,3,0,NA,2,3,0.6666666666666666,0,0,2,1,3,3,1,2,0,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.333,0.333,0.143,100,85,15,88.77,0.058,0.11321874999999999,-0.05521874999999999,0,no load manage
21100477,Kawhi Leonard,2011-12,2012-02-20,San Antonio Spurs,Utah Jazz,Away,Salt Lake City,W,Los Angeles - Salt Lake City,582,America/Denver,~1.29 hours,1,1,32,30,4,1,1,3,0.333,0,1,0,1,1,2,0.5,2,2,4,4,8,0,2,0,1,1,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.333,0.515,0.076,123.7,107.9,15.8,82.66,0.067,0.11321874999999999,-0.04621874999999999,0,no load manage
21100485,Kawhi Leonard,2011-12,2012-02-21,San Antonio Spurs,Portland Trail Blazers,Away,Portland,L,Salt Lake City - Portland,632,America/Los_Angeles,~1.4 hours,0,0,33,43,24,-1,9,14,0.643,2,4,0.5,0.667,7,10,0.7,4,6,2,8,10,1,5,1,2,1,-21,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.714,0.721,0.188,106.8,127.8,-21,82.79,0.161,0.11321874999999999,0.04778125000000001,0,no load manage
21100501,Kawhi Leonard,2011-12,2012-02-23,San Antonio Spurs,Denver Nuggets,Away,Denver,W,Portland - Denver,986,America/Denver,~2.19 hours,1,1,34,2,2,1,1,1,1,0,0,0,NA,1,1,1,0,0,0,1,1,0,0,0,0,0,7,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,1,0.333,266.7,33.3,233.3,57.6,0.667,0.11321874999999999,0.55378125,0,no load manage
21100535,Kawhi Leonard,2011-12,2012-03-02,San Antonio Spurs,Charlotte Bobcats,Home,San Antonio,W,No Travel,0,America/Chicago,-,1,7,35,17,10,0,2,5,0.4,0,2,0,1,2,3,0.6666666666666666,6,6,2,3,5,0,3,0,1,1,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.4,0.654,0.22,109.1,83.9,25.2,74.35,0.381,0.11321874999999999,0.26778125,6,minor injury rest
21100553,Kawhi Leonard,2011-12,2012-03-04,San Antonio Spurs,Denver Nuggets,Home,San Antonio,L,No Travel,0,America/Chicago,-,1,1,36,23,13,0,2,5,0.4,1,3,0.3333333333333333,0.889,1,2,0.5,8,9,1,5,6,1,1,1,0,2,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.5,0.725,0.196,107,97.6,9.4,75.47,0.24,0.11321874999999999,0.12678125,0,no load manage
21100578,Kawhi Leonard,2011-12,2012-03-07,San Antonio Spurs,New York Knicks,Home,San Antonio,W,No Travel,0,America/Chicago,-,2,2,37,25,10,0,4,4,1,0,0,0,0.667,4,4,1,2,3,1,5,6,0,3,0,0,1,-5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0.94,0.085,113.2,125,-11.8,85.14,0.143,0.11321874999999999,0.029781249999999995,0,no load manage
21100591,Kawhi Leonard,2011-12,2012-03-09,San Antonio Spurs,Los Angeles Clippers,Home,San Antonio,L,No Travel,0,America/Chicago,-,1,1,38,20,10,0,4,6,0.667,2,2,1,NA,2,4,0.5,0,0,3,3,6,1,0,0,2,2,-6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.833,0.833,0.178,104.8,116.3,-11.5,84.66,0.12,0.11321874999999999,0.0067812500000000026,0,no load manage
21100614,Kawhi Leonard,2011-12,2012-03-12,San Antonio Spurs,Washington Wizards,Home,San Antonio,W,No Travel,0,America/Chicago,-,2,2,39,27,7,0,3,6,0.5,1,4,0.25,NA,2,2,1,0,0,2,5,7,0,2,0,0,0,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.583,0.583,0.095,123.6,96.4,27.3,80.15,0.106,0.11321874999999999,-0.007218749999999996,0,no load manage
21100633,Kawhi Leonard,2011-12,2012-03-14,San Antonio Spurs,Orlando Magic,Home,San Antonio,W,No Travel,0,America/Chicago,-,1,1,40,31,12,0,4,5,0.8,2,2,1,1,2,3,0.6666666666666666,2,2,1,5,6,2,2,0,0,3,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1.02,0.088,145,113.3,31.7,77.17,0.126,0.11321874999999999,0.012781250000000008,0,no load manage
21100649,Kawhi Leonard,2011-12,2012-03-16,San Antonio Spurs,Oklahoma City Thunder,Away,Oklahoma City,W,San Antonio - Oklahoma City,420,America/Chicago,~56 minutes,1,1,41,39,15,0,5,9,0.556,2,4,0.5,0.75,3,5,0.6,3,4,3,2,5,2,3,0,2,1,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.667,0.697,0.134,107.6,103.8,3.7,80.56,0.124,0.11321874999999999,0.010781250000000006,0,no load manage
21100659,Kawhi Leonard,2011-12,2012-03-17,San Antonio Spurs,Dallas Mavericks,Away,Dallas,L,Oklahoma City - Dallas,190,America/Chicago,~55 minutes,0,0,42,30,5,0,2,6,0.333,1,4,0.25,NA,1,2,0.5,0,0,1,4,5,2,2,0,1,2,-10,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0.417,0.417,0.121,110.9,122.4,-11.5,76.14,0.052,0.11321874999999999,-0.061218749999999995,0,no load manage
21100690,Kawhi Leonard,2011-12,2012-03-21,San Antonio Spurs,Minnesota Timberwolves,Home,San Antonio,W,Dallas - San Antonio,252,America/Chicago,~55 minutes,3,3,43,38,16,0,6,10,0.6,1,2,0.5,0.75,5,8,0.625,3,4,3,6,9,1,1,1,0,3,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.65,0.68,0.121,111.4,95,16.4,84.5,0.128,0.11321874999999999,0.01478125000000001,0,no load manage
21100707,Kawhi Leonard,2011-12,2012-03-23,San Antonio Spurs,Dallas Mavericks,Home,San Antonio,W,No Travel,0,America/Chicago,-,1,1,44,27,12,0,6,8,0.75,0,2,0,NA,6,6,1,0,0,2,6,8,0,1,1,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.75,0.75,0.133,90.4,88.7,1.7,78.61,0.219,0.11321874999999999,0.10578125000000001,0,no load manage
21100715,Kawhi Leonard,2011-12,2012-03-24,San Antonio Spurs,New Orleans Hornets,Away,New Orleans,W,San Antonio - New Orleans,516,America/Chicago,~1.15 hours,0,0,45,25,8,0,3,12,0.25,0,1,0,1,3,11,0.2727272727272727,2,2,5,2,7,0,1,2,0,1,-2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.25,0.311,0.213,97.9,102.1,-4.3,74.1,0.056,0.11321874999999999,-0.05721874999999999,0,no load manage
21100723,Kawhi Leonard,2011-12,2012-03-25,San Antonio Spurs,Philadelphia 76ers,Home,San Antonio,W,New Orleans - San Antonio,516,America/Chicago,~1.15 hours,0,0,46,32,11,0,4,7,0.571,1,2,0.5,1,3,5,0.6,2,2,1,9,10,2,1,0,1,1,5,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0.643,0.698,0.122,88.2,83.3,4.9,82.74,0.18,0.11321874999999999,0.06678125,0,no load manage
21100740,Kawhi Leonard,2011-12,2012-03-27,San Antonio Spurs,Phoenix Suns,Away,Phoenix,W,San Antonio - Phoenix,847,America/Phoenix,~1.88 hours,1,1,47,32,14,-1,6,11,0.545,1,3,0.3333333333333333,1,5,8,0.625,1,1,2,5,7,1,1,0,1,2,4,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,0.591,0.612,0.171,114.5,108.1,6.5,78.44,0.113,0.11321874999999999,-2.1874999999998979e-4,0,no load manage
21100750,Kawhi Leonard,2011-12,2012-03-28,San Antonio Spurs,Sacramento Kings,Away,Sacramento,W,Phoenix - Sacramento,629,America/Los_Angeles,~1.4 hours,0,0,48,33,19,-1,8,11,0.727,3,4,0.75,NA,5,7,0.7142857142857143,0,0,4,5,9,2,2,0,3,2,14,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,0.864,0.864,0.184,127.7,107.8,19.9,77.72,0.151,0.11321874999999999,0.03778125,0,no load manage
21100774,Kawhi Leonard,2011-12,2012-03-31,San Antonio Spurs,Indiana Pacers,Home,San Antonio,W,Sacramento - San Antonio,1453,America/Chicago,~3.23 hours,2,2,49,24,5,2,2,5,0.4,1,2,0.5,NA,1,3,0.3333333333333333,0,0,1,1,2,2,2,0,1,3,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.5,0.5,0.111,114.9,95.6,19.3,76.56,0.043,0.11321874999999999,-0.07021875,0,no load manage
21100792,Kawhi Leonard,2011-12,2012-04-03,San Antonio Spurs,Cleveland Cavaliers,Away,Cleveland,W,San Antonio - Cleveland,1256,America/New_York,~2.79 hours,2,2,50,19,8,1,3,7,0.429,0,2,0,1,3,5,0.6,2,2,2,1,3,2,1,1,0,0,6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.429,0.508,0.2,133.3,111.8,21.6,71.72,0.119,0.11321874999999999,0.005781250000000002,0,no load manage
21100801,Kawhi Leonard,2011-12,2012-04-04,San Antonio Spurs,Boston Celtics,Away,Boston,W,Cleveland - Boston,551,America/New_York,~1.22 hours,0,0,51,18,0,0,0,2,0,0,0,0,NA,0,2,0,0,0,1,0,1,2,1,0,0,0,3,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0.051,88.9,80.6,8.3,81.78,0.025,0.11321874999999999,-0.08821874999999998,0,no load manage
21100822,Kawhi Leonard,2011-12,2012-04-06,San Antonio Spurs,New Orleans Hornets,Home,San Antonio,W,Boston - San Antonio,1767,America/Chicago,~3.93 hours,1,1,52,21,6,-1,3,5,0.6,0,0,0,NA,3,5,0.6,0,0,2,2,4,1,1,0,0,1,12,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.6,0.6,0.098,126.1,95.8,30.3,88.47,0.089,0.11321874999999999,-0.024218749999999997,0,no load manage
21100839,Kawhi Leonard,2011-12,2012-04-08,San Antonio Spurs,Utah Jazz,Home,San Antonio,W,No Travel,0,America/Chicago,-,1,1,53,27,6,0,3,4,0.75,0,0,0,NA,3,4,0.75,0,0,0,4,4,2,1,1,0,2,6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.75,0.75,0.069,107.3,96.4,10.9,82.5,0.118,0.11321874999999999,0.004781250000000001,0,no load manage
21100850,Kawhi Leonard,2011-12,2012-04-09,San Antonio Spurs,Utah Jazz,Away,Salt Lake City,L,San Antonio - Salt Lake City,1087,America/Denver,~2.42 hours,0,0,54,26,7,-1,3,8,0.375,0,2,0,1,3,6,0.5,1,1,1,4,5,2,1,1,1,2,5,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,0.375,0.415,0.164,112.8,100,12.8,73.83,0.084,0.11321874999999999,-0.029218749999999988,0,no load manage
21100866,Kawhi Leonard,2011-12,2012-04-11,San Antonio Spurs,Los Angeles Lakers,Home,San Antonio,L,Salt Lake City - San Antonio,1087,America/Chicago,~2.42 hours,1,1,55,18,2,1,1,4,0.25,0,1,0,NA,1,3,0.3333333333333333,0,0,0,5,5,1,0,2,0,2,-8,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.25,0.25,0.108,91.4,111.1,-19.7,77.17,0.055,0.11321874999999999,-0.05821874999999999,0,no load manage
21100872,Kawhi Leonard,2011-12,2012-04-12,San Antonio Spurs,Memphis Grizzlies,Home,San Antonio,W,No Travel,0,America/Chicago,-,0,0,56,18,6,0,2,5,0.4,0,1,0,1,2,4,0.5,2,2,2,3,5,1,1,0,0,2,-4,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0.4,0.51,0.158,109.1,117.6,-8.6,73.33,0.109,0.11321874999999999,-0.004218749999999993,0,no load manage
