Season,Phase,Month,Week,Date,Team,Opponent,Location,W/L,City,Distance,Route,Rest,TZ,Shift (hrs),Flight Time,Direction (E/W),Return Home,Latitude,Longitude,d.Latitude,d.Longitude
2014-15,PO,May,19,2015-05-09,Atlanta Hawks,Washington Wizards,Away,L,Washington,544,Atlanta - Washington,3,America/New_York,0,~59.35 minutes,-,,38.91,-77.02,33.76,-84.42
2014-15,PO,May,19,2015-05-11,Atlanta Hawks,Washington Wizards,Away,W,Washington,0,No Travel,1,America/New_York,0,-,-,,38.91,-77.02,38.91,-77.02
2014-15,PO,May,19,2015-05-13,Atlanta Hawks,Washington Wizards,Home,W,Atlanta,544,Washington - Atlanta,1,America/New_York,0,~59.35 minutes,-,,33.76,-84.42,38.91,-77.02
2014-15,PO,May,20,2015-05-15,Atlanta Hawks,Washington Wizards,Away,W,Washington,544,Atlanta - Washington,1,America/New_York,0,~59.35 minutes,-,,38.91,-77.02,33.76,-84.42
2014-15,PO,May,20,2015-05-20,Atlanta Hawks,Cleveland Cavaliers,Home,L,Atlanta,544,Washington - Atlanta,4,America/New_York,0,~59.35 minutes,-,,33.76,-84.42,38.91,-77.02
2014-15,PO,May,21,2015-05-22,Atlanta Hawks,Cleveland Cavaliers,Home,L,Atlanta,0,No Travel,1,America/New_York,0,-,-,,33.76,-84.42,33.76,-84.42
2014-15,PO,May,21,2015-05-24,Atlanta Hawks,Cleveland Cavaliers,Away,L,Cleveland,554,Atlanta - Cleveland,1,America/New_York,0,~1.01 hours,-,,41.48,-81.68,33.76,-84.42
2014-15,PO,May,21,2015-05-26,Atlanta Hawks,Cleveland Cavaliers,Away,L,Cleveland,0,No Travel,1,America/New_York,0,-,-,,41.48,-81.68,41.48,-81.68
2014-15,RS,Oct,44,2014-10-29,Boston Celtics,Brooklyn Nets,Home,W,Boston,0,No Travel,15,America/New_York,0,-,-,,42.34,-71.02,42.34,-71.02
2014-15,RS,Nov,44,2014-11-01,Boston Celtics,Houston Rockets,Away,L,Houston,1607,Boston - Houston,2,America/Chicago,-1,~2.92 hours,West,,29.77,-95.39,42.34,-71.02
2014-15,RS,Nov,44,2014-11-03,Boston Celtics,Dallas Mavericks,Away,L,Dallas,224,Houston - Dallas,1,America/Chicago,0,~55 minutes,-,,32.79,-96.77,29.77,-95.39
2014-15,RS,Nov,45,2014-11-05,Boston Celtics,Toronto Raptors,Home,L,Boston,1550,Dallas - Boston,1,America/New_York,1,~2.82 hours,East,,42.34,-71.02,32.79,-96.77
2014-15,RS,Nov,45,2014-11-07,Boston Celtics,Indiana Pacers,Home,W,Boston,0,No Travel,1,America/New_York,0,-,-,,42.34,-71.02,42.34,-71.02
2014-15,RS,Nov,45,2014-11-08,Boston Celtics,Chicago Bulls,Away,W,Chicago,854,Boston - Chicago,0,America/Chicago,-1,~1.55 hours,West,,41.84,-87.68,42.34,-71.02
2014-15,RS,Nov,46,2014-11-12,Boston Celtics,Oklahoma City Thunder,Home,L,Boston,854,Chicago - Boston,3,America/New_York,1,~1.55 hours,East,,42.34,-71.02,41.84,-87.68
2014-15,RS,Nov,46,2014-11-14,Boston Celtics,Cleveland Cavaliers,Home,L,Boston,0,No Travel,1,America/New_York,0,-,-,,42.34,-71.02,42.34,-71.02
2014-15,RS,Nov,46,2014-11-17,Boston Celtics,Phoenix Suns,Home,L,Boston,0,No Travel,2,America/New_York,0,-,-,,42.34,-71.02,42.34,-71.02
2014-15,RS,Nov,47,2014-11-19,Boston Celtics,Philadelphia 76ers,Away,W,Philadelphia,268,Boston - Philadelphia,1,America/New_York,0,~55 minutes,-,,40.01,-75.13,42.34,-71.02
2014-15,RS,Nov,47,2014-11-21,Boston Celtics,Memphis Grizzlies,Away,L,Memphis,882,Philadelphia - Memphis,1,America/Chicago,-1,~1.6 hours,West,,35.11,-90.01,40.01,-75.13
2014-15,RS,Nov,47,2014-11-23,Boston Celtics,Portland Trail Blazers,Home,L,Boston,1136,Memphis - Boston,1,America/New_York,1,~2.07 hours,East,,42.34,-71.02,35.11,-90.01
2014-15,RS,Nov,48,2014-11-28,Boston Celtics,Chicago Bulls,Home,L,Boston,0,No Travel,4,America/New_York,0,-,-,,42.34,-71.02,42.34,-71.02
2014-15,RS,Nov,48,2014-11-30,Boston Celtics,San Antonio Spurs,Home,L,Boston,0,No Travel,1,America/New_York,0,-,-,,42.34,-71.02,42.34,-71.02
2014-15,RS,Dec,48,2014-12-02,Boston Celtics,Atlanta Hawks,Away,L,Atlanta,938,Boston - Atlanta,1,America/New_York,0,~1.71 hours,-,,33.76,-84.42,42.34,-71.02
2014-15,RS,Dec,49,2014-12-03,Boston Celtics,Detroit Pistons,Home,W,Boston,938,Atlanta - Boston,0,America/New_York,0,~1.71 hours,-,,42.34,-71.02,33.76,-84.42
2014-15,RS,Dec,49,2014-12-05,Boston Celtics,Los Angeles Lakers,Home,W,Boston,0,No Travel,1,America/New_York,0,-,-,,42.34,-71.02,42.34,-71.02
2014-15,RS,Dec,49,2014-12-07,Boston Celtics,Washington Wizards,Home,W,Boston,0,No Travel,1,America/New_York,0,-,-,,42.34,-71.02,42.34,-71.02
2014-15,RS,Dec,49,2014-12-08,Boston Celtics,Washington Wizards,Away,L,Washington,394,Boston - Washington,0,America/New_York,0,~55 minutes,-,,38.91,-77.02,42.34,-71.02
2014-15,RS,Dec,50,2014-12-10,Boston Celtics,Charlotte Hornets,Away,L,Charlotte,332,Washington - Charlotte,1,America/New_York,0,~55 minutes,-,,35.2,-80.83,38.91,-77.02
2014-15,RS,Dec,50,2014-12-12,Boston Celtics,New York Knicks,Home,L,Boston,722,Charlotte - Boston,1,America/New_York,0,~1.31 hours,-,,42.34,-71.02,35.2,-80.83
2014-15,RS,Dec,50,2014-12-15,Boston Celtics,Philadelphia 76ers,Away,W,Philadelphia,268,Boston - Philadelphia,2,America/New_York,0,~55 minutes,-,,40.01,-75.13,42.34,-71.02
2014-15,RS,Dec,51,2014-12-17,Boston Celtics,Orlando Magic,Home,W,Boston,268,Philadelphia - Boston,1,America/New_York,0,~55 minutes,-,,42.34,-71.02,40.01,-75.13
2014-15,RS,Dec,51,2014-12-19,Boston Celtics,Minnesota Timberwolves,Home,W,Boston,0,No Travel,1,America/New_York,0,-,-,,42.34,-71.02,42.34,-71.02
2014-15,RS,Dec,51,2014-12-21,Boston Celtics,Miami Heat,Away,L,Miami,1258,Boston - Miami,1,America/New_York,0,~2.29 hours,-,,25.78,-80.21,42.34,-71.02
2014-15,RS,Dec,51,2014-12-23,Boston Celtics,Orlando Magic,Away,L,Orlando,201,Miami - Orlando,1,America/New_York,0,~55 minutes,-,,28.5,-81.37,25.78,-80.21
2014-15,RS,Dec,52,2014-12-26,Boston Celtics,Brooklyn Nets,Home,L,Boston,1118,Orlando - Boston,2,America/New_York,0,~2.03 hours,-,,42.34,-71.02,28.5,-81.37
2014-15,RS,Dec,52,2014-12-27,Boston Celtics,Washington Wizards,Away,L,Washington,394,Boston - Washington,0,America/New_York,0,~55 minutes,-,,38.91,-77.02,42.34,-71.02
2014-15,RS,Dec,53,2014-12-31,Boston Celtics,Sacramento Kings,Home,W,Boston,394,Washington - Boston,3,America/New_York,0,~55 minutes,-,,42.34,-71.02,38.91,-77.02
2014-15,RS,Jan,1,2015-01-02,Boston Celtics,Dallas Mavericks,Home,L,Boston,0,No Travel,1,America/New_York,0,-,-,,42.34,-71.02,42.34,-71.02
2014-15,RS,Jan,1,2015-01-03,Boston Celtics,Chicago Bulls,Away,L,Chicago,854,Boston - Chicago,0,America/Chicago,-1,~1.55 hours,West,,41.84,-87.68,42.34,-71.02
2014-15,RS,Jan,1,2015-01-05,Boston Celtics,Charlotte Hornets,Home,L,Boston,854,Chicago - Boston,1,America/New_York,1,~1.55 hours,East,,42.34,-71.02,41.84,-87.68
2014-15,RS,Jan,1,2015-01-07,Boston Celtics,Brooklyn Nets,Away,W,New York,190,Boston - New York,1,America/New_York,0,~55 minutes,-,,40.67,-73.94,42.34,-71.02
2014-15,RS,Jan,2,2015-01-09,Boston Celtics,Indiana Pacers,Away,L,Indianapolis,647,New York - Indianapolis,1,America/Indiana/Indianapolis,0,~1.18 hours,-,,39.78,-86.15,40.67,-73.94
2014-15,RS,Jan,2,2015-01-10,Boston Celtics,Toronto Raptors,Away,L,Toronto,440,Indianapolis - Toronto,0,America/Toronto,0,~55 minutes,-,,43.65,-79.38,39.78,-86.15
2014-15,RS,Jan,2,2015-01-12,Boston Celtics,New Orleans Pelicans,Home,W,Boston,432,Toronto - Boston,1,America/New_York,0,~55 minutes,-,,42.34,-71.02,43.65,-79.38
2014-15,RS,Jan,2,2015-01-14,Boston Celtics,Atlanta Hawks,Home,L,Boston,0,No Travel,1,America/New_York,0,-,-,,42.34,-71.02,42.34,-71.02
2014-15,RS,Jan,3,2015-01-16,Boston Celtics,Chicago Bulls,Home,L,Boston,0,No Travel,1,America/New_York,0,-,-,,42.34,-71.02,42.34,-71.02
2014-15,RS,Jan,3,2015-01-19,Boston Celtics,Los Angeles Clippers,Away,L,Los Angeles,2601,Boston - Los Angeles,2,America/Los_Angeles,-3,~4.73 hours,West,,34.11,-118.41,42.34,-71.02
