"","team","w","l","w_lpercent","gb","pw","pl","ps_g","pa_g","date"
"193","Chicago Bulls",0,3,0,"3.0",1,2,96.3,107.7,"2017-10-24"
"194","San Antonio Spurs*",3,0,1,"—",2,1,98.3,91,"2017-10-24"
"195","Los Angeles Clippers",3,0,1,"—",3,0,113.3,88,"2017-10-24"
"196","Memphis Grizzlies",3,0,1,"—",2,1,104,94,"2017-10-24"
"197","Portland Trail Blazers*",3,1,0.75,"0.5",4,0,112.8,94.5,"2017-10-24"
"198","Houston Rockets*",3,1,0.75,"0.5",2,2,106,102.5,"2017-10-24"
"199","Golden State Warriors*",2,2,0.5,"1.5",3,1,120.8,114,"2017-10-24"
"200","Minnesota Timberwolves*",2,2,0.5,"1.5",1,3,105.3,111.8,"2017-10-24"
"201","Utah Jazz*",2,2,0.5,"1.5",2,2,95.8,96.3,"2017-10-24"
"202","Oklahoma City Thunder*",1,2,0.333,"2.0",2,1,101.7,98.3,"2017-10-24"
"203","Denver Nuggets",1,2,0.333,"2.0",2,1,98.7,98,"2017-10-24"
"204","Los Angeles Lakers",1,2,0.333,"2.0",1,2,112,119,"2017-10-24"
"205","New Orleans Pelicans*",1,3,0.25,"2.5",1,3,105.8,111.5,"2017-10-24"
"206","Phoenix Suns",1,3,0.25,"2.5",0,4,102.8,125.3,"2017-10-24"
"207","Sacramento Kings",1,3,0.25,"2.5",1,3,96.8,101.5,"2017-10-24"
"208","Dallas Mavericks",0,4,0,"3.5",1,3,98.3,112.5,"2017-10-24"
"209","Milwaukee Bucks*",3,1,0.75,"—",2,2,105.3,105,"2017-10-25"
"210","Washington Wizards*",3,1,0.75,"—",2,2,110.8,108,"2017-10-25"
"211","Orlando Magic",3,1,0.75,"—",3,1,119,112.3,"2017-10-25"
"212","Cleveland Cavaliers*",3,2,0.6,"0.5",3,2,107.4,106.8,"2017-10-25"
"213","Detroit Pistons",3,2,0.6,"0.5",3,2,106.4,102,"2017-10-25"
"214","Brooklyn Nets",3,2,0.6,"0.5",3,2,121.2,119.4,"2017-10-25"
"215","Miami Heat*",2,2,0.5,"1.0",2,2,106.3,108.5,"2017-10-25"
"216","Toronto Raptors*",2,2,0.5,"1.0",3,1,113.5,103,"2017-10-25"
"217","Boston Celtics*",2,2,0.5,"1.0",3,1,102.8,97.8,"2017-10-25"
"218","Charlotte Hornets",2,2,0.5,"1.0",2,2,100.8,97.3,"2017-10-25"
"219","Indiana Pacers*",2,3,0.4,"1.5",2,3,114,115.6,"2017-10-25"
"220","Atlanta Hawks",1,3,0.25,"2.0",1,3,101.3,110,"2017-10-25"
"221","Philadelphia 76ers*",1,4,0.2,"2.5",1,4,100.4,108.2,"2017-10-25"
"222","New York Knicks",0,3,0,"2.5",0,3,93.3,108.7,"2017-10-25"
"223","Chicago Bulls",0,3,0,"2.5",1,2,96.3,107.7,"2017-10-25"
"224","San Antonio Spurs*",4,0,1,"—",3,1,103,93.3,"2017-10-25"
"225","Los Angeles Clippers",3,0,1,"0.5",3,0,113.3,88,"2017-10-25"
"226","Houston Rockets*",4,1,0.8,"0.5",3,2,105.8,102.8,"2017-10-25"
"227","Portland Trail Blazers*",3,1,0.75,"1.0",4,0,112.8,94.5,"2017-10-25"
"228","Memphis Grizzlies",3,1,0.75,"1.0",3,1,101.5,96.3,"2017-10-25"
"229","Golden State Warriors*",3,2,0.6,"1.5",3,2,120,113.6,"2017-10-25"
"230","Oklahoma City Thunder*",2,2,0.5,"2.0",3,1,104.8,97.8,"2017-10-25"
"231","Los Angeles Lakers",2,2,0.5,"2.0",1,3,109.5,114,"2017-10-25"
"232","Minnesota Timberwolves*",2,3,0.4,"2.5",1,4,104.4,113.8,"2017-10-25"
"233","Utah Jazz*",2,3,0.4,"2.5",2,3,94.2,96.4,"2017-10-25"
"234","Phoenix Suns",2,3,0.4,"2.5",1,4,101.6,117.8,"2017-10-25"
"235","New Orleans Pelicans*",1,3,0.25,"3.0",1,3,105.8,111.5,"2017-10-25"
"236","Denver Nuggets",1,3,0.25,"3.0",1,3,97.3,101,"2017-10-25"
"237","Sacramento Kings",1,3,0.25,"3.0",1,3,96.8,101.5,"2017-10-25"
"238","Dallas Mavericks",1,4,0.2,"3.5",1,4,99.2,108.8,"2017-10-25"
"239","Washington Wizards*",3,1,0.75,"—",2,2,110.8,108,"2017-10-26"
"240","Orlando Magic",3,1,0.75,"—",3,1,119,112.3,"2017-10-26"
"241","Cleveland Cavaliers*",3,2,0.6,"0.5",3,2,107.4,106.8,"2017-10-26"
"242","Boston Celtics*",3,2,0.6,"0.5",3,2,101.4,96,"2017-10-26"
"243","Milwaukee Bucks*",3,2,0.6,"0.5",2,3,102,103.2,"2017-10-26"
"244","Detroit Pistons",3,2,0.6,"0.5",3,2,106.4,102,"2017-10-26"
"245","Brooklyn Nets",3,2,0.6,"0.5",3,2,121.2,119.4,"2017-10-26"
"246","Miami Heat*",2,2,0.5,"1.0",2,2,106.3,108.5,"2017-10-26"
"247","Toronto Raptors*",2,2,0.5,"1.0",3,1,113.5,103,"2017-10-26"
"248","Charlotte Hornets",2,2,0.5,"1.0",2,2,100.8,97.3,"2017-10-26"
"249","Indiana Pacers*",2,3,0.4,"1.5",2,3,114,115.6,"2017-10-26"
"250","Chicago Bulls",1,3,0.25,"2.0",1,3,95,102.3,"2017-10-26"
"251","Philadelphia 76ers*",1,4,0.2,"2.5",1,4,100.4,108.2,"2017-10-26"
"252","Atlanta Hawks",1,4,0.2,"2.5",1,4,98.2,106.2,"2017-10-26"
"253","New York Knicks",0,3,0,"2.5",0,3,93.3,108.7,"2017-10-26"
"254","San Antonio Spurs*",4,0,1,"—",3,1,103,93.3,"2017-10-26"
"255","Los Angeles Clippers",4,0,1,"—",4,0,111,91.8,"2017-10-26"
"256","Houston Rockets*",4,1,0.8,"0.5",3,2,105.8,102.8,"2017-10-26"
"257","Memphis Grizzlies",4,1,0.8,"0.5",3,2,100.4,95.2,"2017-10-26"
"258","Golden State Warriors*",3,2,0.6,"1.5",3,2,120,113.6,"2017-10-26"
"259","Portland Trail Blazers*",3,2,0.6,"1.5",4,1,110.8,96.4,"2017-10-26"
"260","Oklahoma City Thunder*",2,2,0.5,"2.0",3,1,104.8,97.8,"2017-10-26"
"261","Los Angeles Lakers",2,2,0.5,"2.0",1,3,109.5,114,"2017-10-26"
"262","New Orleans Pelicans*",2,3,0.4,"2.5",2,3,107.4,110.4,"2017-10-26"
"263","Minnesota Timberwolves*",2,3,0.4,"2.5",1,4,104.4,113.8,"2017-10-26"
"264","Utah Jazz*",2,3,0.4,"2.5",2,3,94.2,96.4,"2017-10-26"
"265","Phoenix Suns",2,3,0.4,"2.5",1,4,101.6,117.8,"2017-10-26"
"266","Denver Nuggets",1,3,0.25,"3.0",1,3,97.3,101,"2017-10-26"
"267","Sacramento Kings",1,4,0.2,"3.5",2,3,98.6,104,"2017-10-26"
"268","Dallas Mavericks",1,5,0.167,"4.0",1,5,97.8,106.7,"2017-10-26"
"269","Orlando Magic",4,1,0.8,"—",4,1,118,107.2,"2017-10-27"
"270","Cleveland Cavaliers*",3,2,0.6,"1.0",3,2,107.4,106.8,"2017-10-27"
"271","Toronto Raptors*",3,2,0.6,"1.0",4,1,111,100.8,"2017-10-27"
"272","Boston Celtics*",3,2,0.6,"1.0",3,2,101.4,96,"2017-10-27"
"273","Milwaukee Bucks*",3,2,0.6,"1.0",2,3,102,103.2,"2017-10-27"
"274","Washington Wizards*",3,2,0.6,"1.0",3,2,112,110.4,"2017-10-27"
"275","Detroit Pistons",3,2,0.6,"1.0",3,2,106.4,102,"2017-10-27"
"276","Brooklyn Nets",3,3,0.5,"1.5",3,3,115.3,117.3,"2017-10-27"
"277","Miami Heat*",2,2,0.5,"1.5",2,2,106.3,108.5,"2017-10-27"
"278","Indiana Pacers*",2,3,0.4,"2.0",2,3,114,115.6,"2017-10-27"
"279","Charlotte Hornets",2,3,0.4,"2.0",2,3,99.2,99.6,"2017-10-27"
"280","New York Knicks",1,3,0.25,"2.5",1,3,96.8,103,"2017-10-27"
"281","Chicago Bulls",1,3,0.25,"2.5",1,3,95,102.3,"2017-10-27"
"282","Philadelphia 76ers*",1,4,0.2,"3.0",1,4,100.4,108.2,"2017-10-27"
"283","Atlanta Hawks",1,5,0.167,"3.5",2,4,98.5,106,"2017-10-27"
"284","Los Angeles Clippers",4,0,1,"—",4,0,111,91.8,"2017-10-27"
"285","Houston Rockets*",5,1,0.833,"—",4,2,106.3,101.2,"2017-10-27"
"286","San Antonio Spurs*",4,1,0.8,"0.5",3,2,99.8,97.4,"2017-10-27"
"287","Memphis Grizzlies",4,1,0.8,"0.5",3,2,100.4,95.2,"2017-10-27"
"288","Golden State Warriors*",4,2,0.667,"1.0",4,2,120,114.2,"2017-10-27"
"289","Portland Trail Blazers*",3,2,0.6,"1.5",4,1,110.8,96.4,"2017-10-27"
"290","Minnesota Timberwolves*",3,3,0.5,"2.0",2,4,106.8,114.2,"2017-10-27"
"291","New Orleans Pelicans*",2,3,0.4,"2.5",2,3,107.4,110.4,"2017-10-27"
"292","Utah Jazz*",2,3,0.4,"2.5",2,3,94.2,96.4,"2017-10-27"
"293","Oklahoma City Thunder*",2,3,0.4,"2.5",3,2,107,102,"2017-10-27"
"294","Denver Nuggets",2,3,0.4,"2.5",2,3,98.8,100.8,"2017-10-27"
"295","Phoenix Suns",2,3,0.4,"2.5",1,4,101.6,117.8,"2017-10-27"
"296","Los Angeles Lakers",2,3,0.4,"2.5",2,3,106,111.4,"2017-10-27"
"297","Sacramento Kings",1,4,0.2,"3.5",2,3,98.6,104,"2017-10-27"
"298","Dallas Mavericks",1,5,0.167,"4.0",1,5,97.8,106.7,"2017-10-27"
"299","Orlando Magic",4,1,0.8,"—",4,1,118,107.2,"2017-10-28"
"300","Boston Celtics*",4,2,0.667,"0.5",4,2,100.5,95,"2017-10-28"
"301","Detroit Pistons",4,2,0.667,"0.5",4,2,104.5,99.5,"2017-10-28"
"302","Toronto Raptors*",3,2,0.6,"1.0",4,1,111,100.8,"2017-10-28"
"303","Milwaukee Bucks*",3,2,0.6,"1.0",2,3,102,103.2,"2017-10-28"
"304","Washington Wizards*",3,2,0.6,"1.0",3,2,112,110.4,"2017-10-28"
"305","Cleveland Cavaliers*",3,3,0.5,"1.5",2,4,106.3,109.5,"2017-10-28"
"306","Brooklyn Nets",3,3,0.5,"1.5",3,3,115.3,117.3,"2017-10-28"
"307","Miami Heat*",2,3,0.4,"2.0",2,3,103,106,"2017-10-28"
"308","Indiana Pacers*",2,3,0.4,"2.0",2,3,114,115.6,"2017-10-28"
"309","Charlotte Hornets",2,3,0.4,"2.0",2,3,99.2,99.6,"2017-10-28"
"310","Philadelphia 76ers*",2,4,0.333,"2.5",2,4,102.3,108.5,"2017-10-28"
"311","New York Knicks",1,3,0.25,"2.5",1,3,96.8,103,"2017-10-28"
"312","Chicago Bulls",1,4,0.2,"3.0",1,4,89.8,102,"2017-10-28"
"313","Atlanta Hawks",1,5,0.167,"3.5",2,4,98.5,106,"2017-10-28"
"314","Memphis Grizzlies",5,1,0.833,"—",4,2,100.8,94.2,"2017-10-28"
