game_id,pctEFG,pctTS,pctUSG,ortg,drtg,netrtg,pacePer40PACE_PER40,ratioPIE
21300117,0.857,0.825,0.157,79.6,87.8,-8.2,81.27,0.214
21300133,0.375,0.375,0.164,77.6,80.7,-3.1,78.23,0.095
21300170,0.536,0.538,0.208,95.6,92.4,3.2,84.41,0.196
21300181,0.545,0.545,0.181,101.6,95.2,6.3,76.48,0.156
21300194,0.875,0.922,0.179,126.9,51.9,75.1,81.43,0.266
21300208,0.375,0.415,0.173,100,72.3,27.7,89.86,0.17
21300224,0.361,0.371,0.217,80.8,92.3,-11.5,82.43,0.09
21300229,0.714,0.714,0.163,113.6,106.5,7.1,79.82,0.134
21300245,0.375,0.375,0.141,95.1,104.9,-9.8,83.47,0.06
21300258,0.286,0.286,0.174,100,100,0,79.7,0.056
21300296,0.692,0.692,0.184,106,145.5,-39.5,72.88,0.096
21300312,0.438,0.474,0.141,126.8,106.9,19.9,78.53,0.091
21300321,0.375,0.564,0.214,145.5,64.4,81,74.43,0.18
21300338,0.864,0.864,0.158,111,116.2,-5.3,86.3,0.152
21300349,0.813,0.813,0.159,105.4,84.2,21.1,73.5,0.154
21300363,0.545,0.545,0.169,95.3,122.7,-27.4,82.41,0.095
21300378,0.4,0.429,0.237,109.2,112.3,-3.1,84.25,0.062
21300382,0.607,0.615,0.212,108,101.3,6.7,86.12,0.17
21300414,0.5,0.523,0.165,124.2,104.8,19.4,79.87,0.129
21300421,0.429,0.45,0.225,81.4,120.3,-39,80.5,0.053
21300425,0.5,0.509,0.134,95.2,109.7,-14.5,88.46,0.069
21300451,0.417,0.417,0.092,110.5,119.3,-8.8,79.49,0.042
21300465,0.5,0.5,0.123,146.2,86.8,59.4,78.21,0.076
21300477,0.3,0.469,0.167,103.8,118.5,-14.7,76.12,0.045
21300494,0.625,0.625,0.182,110.5,80.7,29.8,76.72,0.058
21300514,0.889,0.824,0.162,126.7,98.4,28.3,74.83,0.167
21300520,0.611,0.636,0.143,109.6,80.8,28.8,78.94,0.18
21300554,0.773,0.773,0.176,109.9,91.3,18.6,77.31,0.135
21300559,0.75,0.838,0.134,115.4,98.5,16.9,79.43,0.16
21300573,0.583,0.603,0.185,117.2,106,11.2,78.33,0.162
21300589,0.875,0.875,0.062,103.3,113.1,-9.8,83.54,0.114
21300604,0.556,0.583,0.233,112.5,92.1,20.4,74.4,0.159
21300630,0.75,0.75,0.114,103.2,106.3,-3,83.54,0.023
21300859,0.611,0.697,0.191,129.5,93.3,36.2,83.59,0.161
21300871,0.556,0.607,0.206,84.7,82.8,2,77.4,0.18
21300888,0.833,0.847,0.147,114.5,107.4,7.1,80.51,0.117
21300898,0.8,0.827,0.233,130.2,96.2,34,81.45,0.198
21300914,0.346,0.396,0.217,96.9,89.1,7.9,84.96,0.07
21300932,0.917,0.936,0.129,122.8,106.3,16.5,83.41,0.146
21300952,0.583,0.621,0.286,109.1,83.6,25.5,76.44,0.159
21300965,0.75,0.75,0.111,92.6,97.1,-4.4,77.8,0.176
21300978,0.375,0.483,0.2,118.2,83.7,34.5,84.88,0.116
21300993,0.625,0.619,0.155,138.9,109.1,29.8,79.51,0.117
21301017,0.708,0.751,0.181,123.7,104.1,19.6,87.59,0.185
21301030,0.455,0.55,0.192,98.3,86.7,11.7,77.68,0.155
21301038,0.429,0.508,0.225,100,85.3,14.7,81.86,0.096
21301054,0.722,0.759,0.196,126.4,78.8,47.6,81.13,0.164
21301068,0.438,0.474,0.108,100,97.3,2.7,86.08,0.077
21301084,0.636,0.612,0.217,122.4,93.9,28.6,85.79,0.181
21301092,0.556,0.644,0.24,100,77.8,22.2,81.42,0.216
21301102,0.667,0.658,0.141,121.5,92.3,29.2,70.78,0.182
21301123,0.444,0.533,0.159,127.6,101.7,25.9,78.88,0.106
21301127,0.567,0.567,0.254,105.1,105.1,0,82.29,0.124
21301154,1,1,0.222,124.1,100,24.1,78.66,0.245
21300275,0.5,0.527,0.172,77.8,98.1,-20.3,79.38,0.167
21301174,0.429,0.494,0.207,123.6,108.2,15.4,78.5,0.145
21301186,0.571,0.587,0.192,114.1,113,1,82.61,0.138
21301221,0.7,0.7,0.169,103.8,103.8,0.1,88.55,0.149
21400024,0,0.393,0.184,106.7,74.5,32.2,77.8,0.134
21400064,0.55,0.55,0.176,106.7,108.2,-1.5,80.89,0.102
21400069,0.182,0.284,0.197,71.4,92.9,-21.4,77.34,0.171
21400089,0.385,0.448,0.195,115.9,111.4,4.5,76.16,0.12
21400102,0.583,0.644,0.256,105.7,92.9,12.9,75.2,0.205
21400108,0.727,0.771,0.158,122.9,111.6,11.3,78.4,0.121
21400131,1,0.872,0.27,91.9,92.1,-0.2,82.87,0.157
21400139,0.469,0.487,0.226,93.5,106.4,-12.9,77.2,0.071
21400152,0.286,0.336,0.167,109.5,60,49.5,83.53,0.166
21400159,0.364,0.44,0.193,95.9,94.4,1.5,77.91,0.152
21400177,0.458,0.509,0.327,142.6,89.6,53,76.15,0.011
21400191,0.474,0.506,0.324,98.6,87.1,11.4,77.21,0.125
21400220,0.75,0.717,0.221,106.9,98.6,8.4,79.19,0.19
21400231,0.615,0.644,0.188,113.2,111.8,1.3,79.54,0.107
21400241,0.611,0.636,0.134,131,81.4,49.7,78,0.132
21400249,0.667,0.702,0.276,112.1,92.6,19.5,81.38,0.25
21400266,0.281,0.338,0.205,91.9,90.5,1.4,75.1,0.097
21400282,0.35,0.414,0.164,96.9,103.1,-6.2,84.37,0.071
21400291,0.583,0.634,0.274,136.4,87.3,49.1,80.15,0.13
21400314,0.538,0.526,0.215,104.3,101.4,2.9,79.5,0.134
21400354,0.429,0.541,0.222,109.7,91.7,18.1,78.64,0.204
21400361,0.389,0.488,0.356,95.5,101.5,-5.9,82.17,0.162
21400595,0.472,0.506,0.257,130.2,103.2,27,81.77,0.129
21400610,0.409,0.47,0.209,100,77.2,22.8,76.67,0.136
21400624,0.577,0.612,0.225,119.7,107.9,11.7,81.08,0.184
21400637,0.5,0.587,0.286,81.6,134,-52.4,73.24,0.097
21400648,0.542,0.563,0.187,105.9,82.4,23.5,81.68,0.233
21400663,0.409,0.584,0.195,96,94.6,1.4,82.02,0.23
21400689,0.5,0.615,0.167,91.3,104.4,-13.1,78.56,0.139
21400714,0.556,0.594,0.267,91.3,118.6,-27.3,80.97,0.136
21400739,0.778,0.836,0.169,105.1,110.4,-5.3,82.59,0.164
21400757,0.7,0.716,0.254,122.2,82.5,39.7,75.37,0.2
21400772,0.324,0.324,0.227,71.8,101.4,-29.5,77.73,0.01
21400774,0.375,0.402,0.167,98.4,98.4,0,77.79,0.066
21400790,0.167,0.291,0.246,128,103.8,24.2,73.16,0.062
21400802,0.091,0.157,0.267,107.1,96.6,10.6,85.16,-0.01
21400814,0.786,0.761,0.233,94.7,118.4,-23.7,80.71,0.137
21400836,0.5,0.488,0.193,77.1,102,-25,77.76,0.096
21400853,0.423,0.489,0.208,95.7,116.2,-20.5,77.91,0.135
21400867,0.536,0.571,0.174,113.3,105.3,8,82.34,0.154
21400875,0.5,0.557,0.247,106.1,68.7,37.4,83.34,0.286
21400906,0.909,0.823,0.219,118.6,80.3,38.3,83.24,0.25
21400921,0.618,0.666,0.273,131.1,105.3,25.8,83.33,0.174
21400931,0.45,0.479,0.231,123.5,105.1,18.4,81.42,0.114
21400949,0.526,0.578,0.244,121.3,103.9,17.4,77.73,0.197
21400964,0.679,0.685,0.231,127.7,133.7,-6,75.15,0.121
21400986,0.538,0.558,0.236,128.8,82.7,46.2,82.21,0.174
21401001,0.389,0.519,0.182,101.4,95.7,5.7,77.9,0.073
21401010,0.5,0.608,0.211,120.8,111.5,9.2,76.64,0.096
21401028,0.643,0.698,0.229,125,89.1,35.9,82.38,0.208
21401039,0.607,0.635,0.282,109.2,81.5,27.7,82.06,0.215
21401057,0.438,0.51,0.217,93.3,100,-6.7,84.72,0.165
21401071,0.611,0.651,0.204,148,88,60,86.46,0.157
21401084,0.346,0.407,0.27,100,93.5,6.5,76.97,0.045
21401098,0.676,0.699,0.292,113.8,87.7,26.2,77.74,0.205
21401110,0.654,0.703,0.21,109.7,77.8,31.9,75.96,0.295
21401113,0.571,0.635,0.174,102.5,107.3,-4.8,77.51,0.183
21401134,0.769,0.769,0.304,169,100,69,79.63,0.179
21401150,0.676,0.693,0.339,123.1,96.2,26.9,86.12,0.3
21401157,0.8,0.819,0.345,121.6,88.2,33.3,84.47,0.247
21401168,0.6,0.63,0.228,121.7,104.4,17.3,78.81,0.125
21401181,0.412,0.48,0.22,101.2,103.7,-2.5,82.72,0.181
21401200,0.542,0.634,0.211,127.3,96.9,30.3,76.91,0.163
21401223,0.429,0.47,0.203,110.8,114.9,-4.1,77.23,0.081
21500013,0.614,0.661,0.313,104.1,96.1,8,84.95,0.23
21500028,0.375,0.45,0.373,105.8,72.2,33.5,82.22,0.159
21500040,0.472,0.503,0.259,88.9,84.7,4.2,84.02,0.145
21500048,0.531,0.547,0.237,104.5,87.9,16.6,73.71,0.195
21500061,0.477,0.503,0.288,93.1,106.8,-13.7,83.83,0.115
21500090,0.688,0.681,0.219,115.7,100,15.7,82.11,0.153
21500103,0.885,0.865,0.178,130.9,89.2,41.7,84.13,0.17
21500123,0.536,0.617,0.236,120.6,115.9,4.6,78.69,0.133
21500156,0.633,0.615,0.238,110.7,105.5,5.3,72.1,0.194
21500172,0.594,0.608,0.195,118.1,106.9,11.1,78.23,0.133
21500182,0.525,0.527,0.273,91.8,100,-8.2,80.84,0.117
21500195,0.433,0.513,0.224,96.1,92.2,3.9,76.48,0.121
21500207,0.639,0.651,0.256,101.4,90.7,10.7,80.07,0.274
21500224,0.688,0.732,0.23,97.3,90.7,6.6,73.71,0.233
21500235,0.667,0.678,0.299,106.5,77.4,29,77.82,0.347
21500242,0.682,0.781,0.227,123,71.7,51.3,82.78,0.223
21500257,0.429,0.501,0.286,102.6,84.6,17.9,77.58,0.139
21500275,0.25,0.419,0.262,98.1,71.7,26.4,84.46,0.098
21500280,0.962,0.973,0.217,116.1,88.9,27.2,75.82,0.273
21500296,0.385,0.48,0.241,105.6,111.4,-5.9,83.27,0.078
21500323,0.438,0.415,0.161,80.8,105.7,-24.9,78.7,0.065
21500342,0.5,0.581,0.21,111.3,94.2,17.1,84.06,0.266
21500347,0.577,0.684,0.247,118.2,65.6,52.6,80.16,0.251
21500364,0.8,0.87,0.255,157.8,76.1,81.7,73.63,0.293
21500379,0.733,0.765,0.22,112.2,103.9,8.2,78.63,0.176
21500393,0.464,0.556,0.211,110.1,122.9,-12.7,77.44,0.127
21500416,0.553,0.591,0.263,104.3,88.6,15.7,80.61,0.207
21500431,0.594,0.594,0.246,110.3,86.4,23.9,76.43,0.199
21500439,0.474,0.503,0.233,93.3,87.8,5.5,76.35,0.188
21500450,0.615,0.678,0.246,116.1,88.7,27.4,77.59,0.167
21500465,0.611,0.704,0.145,98.7,94.8,3.9,81.85,0.196
21500481,0.75,0.808,0.2,120.7,80.7,40,78.54,0.186
21500502,0.75,0.775,0.233,125.8,102.9,22.8,78.39,0.127
21500516,0.875,0.901,0.236,140,106.3,33.7,79.78,0.156
21500532,0.636,0.656,0.271,131.8,100,31.8,75.86,0.155
21500546,0.421,0.458,0.253,104,110.8,-6.8,80.76,0.119
21500566,0.5,0.555,0.242,118.2,83.6,34.5,74.46,0.149
21500570,0.143,0.347,0.151,101.3,89.2,12.1,87.38,0
21500590,0.5,0.601,0.244,102.6,105.1,-2.4,77.8,0.179
21500612,0.5,0.55,0.226,103.3,76.3,27.1,81.74,0.133
21500644,0.433,0.567,0.383,141.9,82.2,59.6,79.28,0.187
21500653,0.5,0.62,0.233,120,91.1,28.9,77.44,0.168
21500675,0.75,0.881,0.203,89.1,125.9,-36.8,86.71,0.188
21500689,0.708,0.699,0.209,140,100,40,85.56,0.113
21500713,0.567,0.648,0.284,111.9,132.8,-20.9,76.06,0.127
21500726,0.455,0.455,0.217,100,92.9,7.1,83.81,0.086
21500742,0.676,0.693,0.276,102.7,97.3,5.4,82.52,0.178
21500759,0.625,0.664,0.31,124.5,77.8,46.8,80.28,0.179
21500767,0.308,0.51,0.253,110.3,109,1.3,79.45,0.149
21500784,0.676,0.676,0.247,130.4,97.1,33.3,82.43,0.188
21500790,0.711,0.729,0.286,113.4,104.5,9,81.58,0.2
21500854,0.375,0.483,0.292,93.2,86.4,6.8,84.54,0.16
21500860,0.767,0.822,0.247,122.2,96.8,25.4,71.09,0.27
21500872,0.731,0.796,0.218,110.1,91,19.1,80.2,0.235
21500905,0.614,0.614,0.301,112.9,82.6,30.2,77.51,0.221
21500909,0.682,0.682,0.286,113,94.8,18.2,78.94,0.198
21500928,0.396,0.462,0.373,105.5,97.3,8.2,80.81,0.167
21500939,0.413,0.449,0.29,97.4,101.3,-3.8,78.66,0.078
21500945,0.5,0.563,0.25,145.8,87.2,58.6,77.5,0.139
21500960,0.8,0.843,0.202,118.8,95,23.8,82.9,0.201
21500979,0.438,0.496,0.326,105.4,101.4,4.1,78.24,0.169
21501001,0.6,0.63,0.269,116.4,103.3,13.1,72.41,0.182
21501018,0.909,0.926,0.19,134.9,98.5,36.5,83.75,0.148
21501036,0.393,0.514,0.25,104.1,94.5,9.6,75.78,0.124
21501043,0.464,0.504,0.222,95.2,90.2,5,80.04,0.102
21501063,0.643,0.664,0.462,121.7,85.1,36.6,77.18,0.291
21501118,0.5,0.662,0.255,100,63.6,36.4,80.3,0.366
21501140,0.647,0.755,0.27,122.4,102.6,19.8,76.28,0.219
21501161,0.357,0.501,0.282,91.2,117.6,-26.5,71.02,0.1
21501177,0.75,0.741,0.23,95.7,117.1,-21.4,80.38,0.134
21501201,0.318,0.399,0.261,95.9,111.1,-15.2,74.4,0.146
21501215,0.525,0.553,0.333,102.8,107.1,-4.4,73.32,0.165
21600003,0.476,0.634,0.366,127.9,105.8,22.1,85.49,0.225
21600016,0.548,0.623,0.324,110.8,100,10.8,76.18,0.227
21600032,0.583,0.683,0.259,124.1,98.2,25.9,77.86,0.193
21600037,0.531,0.634,0.394,115.3,94.9,20.3,79.15,0.189
21600053,0.694,0.743,0.328,106.2,113.8,-7.7,72.65,0.215
21600077,0.528,0.647,0.343,123.3,109.8,13.5,76.83,0.232
21600086,0.231,0.424,0.311,96.5,114.3,-17.8,80.96,0.079
21600114,0.5,0.576,0.368,96.1,109,-12.9,79.01,0.173
21600127,0.389,0.44,0.276,106.2,107.7,-1.5,69.88,0.074
21600134,0.563,0.592,0.244,111,111.1,-0.2,77.06,0.101
21600150,0.447,0.523,0.342,102.9,105.8,-2.9,80.42,0.148
21600168,0.643,0.672,0.229,127,85.9,41,79.29,0.173
21600182,0.533,0.621,0.25,122.8,113,9.8,79.59,0.177
21600206,0.447,0.533,0.338,95.2,106.3,-11.1,74.56,0.213
21600213,0.714,0.7,0.259,129.2,119.4,9.7,78.69,0.168
21600225,0.528,0.606,0.307,110.8,115.6,-4.9,73.68,0.185
