season,phase,date,team,opponent,location,city,w_l,route,distance,tz,flight_time,direction_e_w,return_home,player,team_rest,player_rest,games_played,mi_ns,pts,shift_hrs,fgm,fga,pct_fg,fg3m,fg3a,pct_fg3,pct_ft,fg2m,fg2a,pct_fg2,ftm,fta,oreb,dreb,treb,ast,stl,blk,tov,pf,plusminus,fpts
2019-20,PO,2020-08-19,Los Angeles Clippers,Dallas Mavericks,Home,Orlando,L,No Travel,0,America/New_York,-,-,,Kawhi Leonard,1,1,2,41,35,0,10,21,0.476,2,6,0.3333333333333333,0.929,8,15,0.5333333333333333,13,14,2,8,10,2,1,0,3,2,-7,50
2019-20,PO,2020-08-21,Los Angeles Clippers,Dallas Mavericks,Away,Orlando,W,No Travel,0,America/New_York,-,-,,Kawhi Leonard,1,1,3,39,36,0,13,24,0.542,1,4,0.25,0.9,12,20,0.6,9,10,1,8,9,8,2,1,2,3,1,65.8
2019-20,PO,2020-08-23,Los Angeles Clippers,Dallas Mavericks,Away,Orlando,L,No Travel,0,America/New_York,-,-,,Kawhi Leonard,1,1,4,47,32,0,10,22,0.455,3,9,0.3333333333333333,0.9,7,13,0.5384615384615384,9,10,2,7,9,4,2,1,2,3,-13,55.8
2019-20,PO,2020-08-25,Los Angeles Clippers,Dallas Mavericks,Home,Orlando,W,No Travel,0,America/New_York,-,-,,Kawhi Leonard,1,1,5,30,32,0,12,19,0.632,2,4,0.5,0.545,10,15,0.6666666666666666,6,11,2,5,7,4,1,1,2,2,24,50.4
2019-20,PO,2020-08-30,Los Angeles Clippers,Dallas Mavericks,Away,Orlando,W,No Travel,0,America/New_York,-,-,,Kawhi Leonard,4,4,6,40,33,0,14,23,0.609,1,4,0.25,1,13,19,0.6842105263157895,4,4,4,10,14,7,5,0,3,4,15,72.3
2019-20,PO,2020-09-03,Los Angeles Clippers,Denver Nuggets,Home,Orlando,W,No Travel,0,America/New_York,-,-,,Kawhi Leonard,3,3,7,32,29,0,12,16,0.75,1,2,0.5,1,11,14,0.7857142857142857,4,4,0,2,2,3,2,1,2,1,20,42.9
2019-20,PO,2020-09-05,Los Angeles Clippers,Denver Nuggets,Home,Orlando,L,No Travel,0,America/New_York,-,-,,Kawhi Leonard,1,1,8,39,13,0,4,17,0.235,0,3,0,0.714,4,14,0.2857142857142857,5,7,4,6,10,8,3,1,4,2,-16,45
2019-20,PO,2020-09-07,Los Angeles Clippers,Denver Nuggets,Away,Orlando,W,No Travel,0,America/New_York,-,-,,Kawhi Leonard,1,1,9,42,23,0,9,19,0.474,1,6,0.16666666666666666,0.667,8,13,0.6153846153846154,4,6,0,14,14,6,0,2,4,2,10,50.8
2019-20,PO,2020-09-09,Los Angeles Clippers,Denver Nuggets,Away,Orlando,W,No Travel,0,America/New_York,-,-,,Kawhi Leonard,1,1,10,39,30,0,10,22,0.455,2,4,0.5,1,8,18,0.4444444444444444,8,8,3,8,11,9,4,2,1,3,7,73.7
2019-20,PO,2020-09-11,Los Angeles Clippers,Denver Nuggets,Home,Orlando,L,No Travel,0,America/New_York,-,-,,Kawhi Leonard,1,1,11,39,36,0,12,24,0.5,5,12,0.4166666666666667,1,7,12,0.5833333333333334,7,7,2,7,9,4,3,0,3,2,-12,58.8
2019-20,PO,2020-09-13,Los Angeles Clippers,Denver Nuggets,Away,Orlando,L,No Travel,0,America/New_York,-,-,,Kawhi Leonard,1,1,12,41,25,0,8,18,0.444,3,5,0.6,0.857,5,13,0.38461538461538464,6,7,2,6,8,5,2,1,2,1,-1,49.1
2019-20,PO,2020-09-15,Los Angeles Clippers,Denver Nuggets,Home,Orlando,L,No Travel,0,America/New_York,-,-,,Kawhi Leonard,1,1,13,44,14,0,6,22,0.273,2,7,0.2857142857142857,NA,4,15,0.26666666666666666,0,0,0,6,6,6,2,1,2,1,-21,37.2
