"","team","w","l","w_lpercent","gb","pw","pl","ps_g","pa_g","date"
"103","Washington Wizards",2,1,0.667,"1.0",1,2,105.3,105.7,"2015-10-31"
"104","Miami Heat*",1,1,0.5,"1.5",1,1,98,98,"2015-10-31"
"105","Boston Celtics*",1,1,0.5,"1.5",1,1,107.5,104,"2015-10-31"
"106","Charlotte Hornets*",0,2,0,"2.5",1,1,94,100.5,"2015-10-31"
"107","Philadelphia 76ers",0,2,0,"2.5",0,2,83,105.5,"2015-10-31"
"108","Milwaukee Bucks",0,2,0,"2.5",0,2,105,120,"2015-10-31"
"109","Orlando Magic",0,2,0,"2.5",1,1,111.5,113.5,"2015-10-31"
"110","Indiana Pacers*",0,3,0,"3.0",0,3,92.7,105,"2015-10-31"
"111","Brooklyn Nets",0,3,0,"3.0",0,3,88.7,106,"2015-10-31"
"112","Golden State Warriors*",3,0,1,"—",3,0,119,102.3,"2015-10-31"
"113","Los Angeles Clippers*",3,0,1,"—",2,1,109.7,100.3,"2015-10-31"
"114","Oklahoma City Thunder*",2,0,1,"0.5",1,1,125.5,121,"2015-10-31"
"115","Minnesota Timberwolves",2,0,1,"0.5",2,0,103.5,94.5,"2015-10-31"
"116","Memphis Grizzlies*",2,1,0.667,"1.0",1,2,96.3,100,"2015-10-31"
"117","Phoenix Suns",2,1,0.667,"1.0",2,1,102,97.7,"2015-10-31"
"118","Utah Jazz",2,1,0.667,"1.0",3,0,94.3,79.7,"2015-10-31"
"119","San Antonio Spurs*",1,1,0.5,"1.5",2,0,104,93.5,"2015-10-31"
"120","Dallas Mavericks*",1,1,0.5,"1.5",1,1,99.5,99.5,"2015-10-31"
"121","Denver Nuggets",1,1,0.5,"1.5",1,1,91.5,90,"2015-10-31"
"122","Portland Trail Blazers*",1,2,0.333,"2.0",1,2,98,101.7,"2015-10-31"
"123","Sacramento Kings",1,2,0.333,"2.0",2,1,115,113,"2015-10-31"
"124","Houston Rockets*",0,2,0,"2.5",0,2,88.5,108.5,"2015-10-31"
"125","Los Angeles Lakers",0,2,0,"2.5",0,2,112.5,122,"2015-10-31"
"126","New Orleans Pelicans",0,3,0,"3.0",0,3,103,119,"2015-10-31"
"127","Toronto Raptors*",3,0,1,"—",3,0,108.3,96.3,"2015-11-1"
"128","Detroit Pistons*",3,0,1,"—",2,1,98.7,91.7,"2015-11-1"
"129","Atlanta Hawks*",3,1,0.75,"0.5",2,2,99.3,98.3,"2015-11-1"
"130","Chicago Bulls",3,1,0.75,"0.5",3,1,99.5,95,"2015-11-1"
"131","Miami Heat*",2,1,0.667,"1.0",2,1,101.7,95,"2015-11-1"
"132","Cleveland Cavaliers*",2,1,0.667,"1.0",3,0,101,88.3,"2015-11-1"
"133","New York Knicks",2,1,0.667,"1.0",2,1,113.3,106.3,"2015-11-1"
"134","Washington Wizards",2,1,0.667,"1.0",1,2,105.3,105.7,"2015-11-1"
"135","Boston Celtics*",1,2,0.333,"2.0",1,2,100.7,101,"2015-11-1"
"136","Philadelphia 76ers",0,2,0,"2.5",0,2,83,105.5,"2015-11-1"
"137","Indiana Pacers*",0,3,0,"3.0",0,3,92.7,105,"2015-11-1"
"138","Charlotte Hornets*",0,3,0,"3.0",1,2,93.3,98.3,"2015-11-1"
"139","Brooklyn Nets",0,3,0,"3.0",0,3,88.7,106,"2015-11-1"
"140","Milwaukee Bucks",0,3,0,"3.0",0,3,99,115.3,"2015-11-1"
"141","Orlando Magic",0,3,0,"3.0",1,2,103.3,106.3,"2015-11-1"
"142","Golden State Warriors*",3,0,1,"—",3,0,119,102.3,"2015-11-1"
"143","Oklahoma City Thunder*",3,0,1,"—",2,1,122.7,111.7,"2015-11-1"
"144","Los Angeles Clippers*",3,0,1,"—",2,1,109.7,100.3,"2015-11-1"
"145","Minnesota Timberwolves",2,0,1,"0.5",2,0,103.5,94.5,"2015-11-1"
"146","San Antonio Spurs*",2,1,0.667,"1.0",2,1,101,91.3,"2015-11-1"
"147","Memphis Grizzlies*",2,1,0.667,"1.0",1,2,96.3,100,"2015-11-1"
"148","Dallas Mavericks*",2,1,0.667,"1.0",2,1,100.7,97.3,"2015-11-1"
"149","Phoenix Suns",2,1,0.667,"1.0",2,1,102,97.7,"2015-11-1"
"150","Utah Jazz",2,1,0.667,"1.0",3,0,94.3,79.7,"2015-11-1"
"151","Portland Trail Blazers*",1,2,0.333,"2.0",1,2,98,101.7,"2015-11-1"
"152","Denver Nuggets",1,2,0.333,"2.0",1,2,92,99,"2015-11-1"
"153","Sacramento Kings",1,2,0.333,"2.0",2,1,115,113,"2015-11-1"
"154","Houston Rockets*",0,3,0,"3.0",0,3,88.7,108.7,"2015-11-1"
"155","Los Angeles Lakers",0,3,0,"3.0",1,2,106,115.7,"2015-11-1"
"156","New Orleans Pelicans",0,3,0,"3.0",0,3,103,119,"2015-11-1"
"157","Toronto Raptors*",3,0,1,"—",3,0,108.3,96.3,"2015-11-2"
"158","Detroit Pistons*",3,0,1,"—",2,1,98.7,91.7,"2015-11-2"
"159","Cleveland Cavaliers*",3,1,0.75,"0.5",3,1,102.5,91.3,"2015-11-2"
"160","Atlanta Hawks*",3,1,0.75,"0.5",2,2,99.3,98.3,"2015-11-2"
"161","Chicago Bulls",3,1,0.75,"0.5",3,1,99.5,95,"2015-11-2"
"162","Miami Heat*",2,1,0.667,"1.0",2,1,101.7,95,"2015-11-2"
"163","Washington Wizards",2,1,0.667,"1.0",1,2,105.3,105.7,"2015-11-2"
"164","New York Knicks",2,2,0.5,"1.5",2,2,106,103.3,"2015-11-2"
"165","Boston Celtics*",1,2,0.333,"2.0",1,2,100.7,101,"2015-11-2"
"166","Milwaukee Bucks",1,3,0.25,"2.5",1,3,100,110.5,"2015-11-2"
"167","Indiana Pacers*",0,3,0,"3.0",0,3,92.7,105,"2015-11-2"
"168","Charlotte Hornets*",0,3,0,"3.0",1,2,93.3,98.3,"2015-11-2"
"169","Philadelphia 76ers",0,3,0,"3.0",0,3,88.7,106,"2015-11-2"
"170","Orlando Magic",0,3,0,"3.0",1,2,103.3,106.3,"2015-11-2"
"171","Brooklyn Nets",0,4,0,"3.5",0,4,90.5,105.3,"2015-11-2"
"172","Golden State Warriors*",4,0,1,"—",4,0,119,94,"2015-11-2"
"173","Los Angeles Clippers*",4,0,1,"—",3,1,107.8,99.3,"2015-11-2"
"174","San Antonio Spurs*",3,1,0.75,"1.0",3,1,99.3,89.5,"2015-11-2"
"175","Oklahoma City Thunder*",3,1,0.75,"1.0",3,1,118.3,111.3,"2015-11-2"
"176","Dallas Mavericks*",2,1,0.667,"1.5",2,1,100.7,97.3,"2015-11-2"
"177","Utah Jazz",2,1,0.667,"1.5",3,0,94.3,79.7,"2015-11-2"
"178","Minnesota Timberwolves",2,1,0.667,"1.5",2,1,102.7,98.3,"2015-11-2"
"179","Memphis Grizzlies*",2,2,0.5,"2.0",0,4,89.5,104.8,"2015-11-2"
"180","Portland Trail Blazers*",2,2,0.5,"2.0",2,2,100,101.5,"2015-11-2"
"181","Phoenix Suns",2,2,0.5,"2.0",2,2,100.5,98.8,"2015-11-2"
"182","Denver Nuggets",1,2,0.333,"2.5",1,2,92,99,"2015-11-2"
"183","Sacramento Kings",1,2,0.333,"2.5",2,1,115,113,"2015-11-2"
"184","Houston Rockets*",1,3,0.25,"3.0",1,3,94,107.8,"2015-11-2"
"185","Los Angeles Lakers",0,3,0,"3.5",1,2,106,115.7,"2015-11-2"
"186","New Orleans Pelicans",0,3,0,"3.5",0,3,103,119,"2015-11-2"
"187","Toronto Raptors*",4,0,1,"—",3,1,106.8,95,"2015-11-3"
"188","Atlanta Hawks*",4,1,0.8,"0.5",3,2,99,97,"2015-11-3"
"189","Cleveland Cavaliers*",3,1,0.75,"1.0",3,1,102.5,91.3,"2015-11-3"
"190","Detroit Pistons*",3,1,0.75,"1.0",2,2,94.5,92.3,"2015-11-3"
"191","Washington Wizards",2,1,0.667,"1.5",1,2,105.3,105.7,"2015-11-3"
"192","Chicago Bulls",3,2,0.6,"1.5",2,3,100.6,102,"2015-11-3"
"193","Miami Heat*",2,2,0.5,"2.0",2,2,99.3,95.8,"2015-11-3"
"194","New York Knicks",2,2,0.5,"2.0",2,2,106,103.3,"2015-11-3"
"195","Boston Celtics*",1,2,0.333,"2.5",1,2,100.7,101,"2015-11-3"
"196","Indiana Pacers*",1,3,0.25,"3.0",1,3,93,99.3,"2015-11-3"
"197","Charlotte Hornets*",1,3,0.25,"3.0",2,2,102.5,100,"2015-11-3"
"198","Milwaukee Bucks",1,3,0.25,"3.0",1,3,100,110.5,"2015-11-3"
"199","Orlando Magic",1,3,0.25,"3.0",2,2,103.3,103.3,"2015-11-3"
"200","Philadelphia 76ers",0,3,0,"3.5",0,3,88.7,106,"2015-11-3"
"201","Brooklyn Nets",0,4,0,"4.0",0,4,90.5,105.3,"2015-11-3"
"202","Golden State Warriors*",4,0,1,"—",4,0,119,94,"2015-11-3"
"203","Los Angeles Clippers*",4,0,1,"—",3,1,107.8,99.3,"2015-11-3"
"204","San Antonio Spurs*",3,1,0.75,"1.0",3,1,99.3,89.5,"2015-11-3"
"205","Oklahoma City Thunder*",3,1,0.75,"1.0",3,1,118.3,111.3,"2015-11-3"
"206","Utah Jazz",2,1,0.667,"1.5",3,0,94.3,79.7,"2015-11-3"
"207","Minnesota Timberwolves",2,1,0.667,"1.5",2,1,102.7,98.3,"2015-11-3"
"208","Memphis Grizzlies*",3,2,0.6,"1.5",1,4,92.2,101.6,"2015-11-3"
"209","Dallas Mavericks*",2,2,0.5,"2.0",2,2,98.3,98.5,"2015-11-3"
"210","Portland Trail Blazers*",2,2,0.5,"2.0",2,2,100,101.5,"2015-11-3"
"211","Denver Nuggets",2,2,0.5,"2.0",2,2,99,101.5,"2015-11-3"
"212","Phoenix Suns",2,2,0.5,"2.0",2,2,100.5,98.8,"2015-11-3"
"213","Houston Rockets*",1,3,0.25,"3.0",1,3,94,107.8,"2015-11-3"
"214","Sacramento Kings",1,3,0.25,"3.0",2,2,108.5,110.5,"2015-11-3"
"215","Los Angeles Lakers",0,4,0,"4.0",1,3,106.8,116.8,"2015-11-3"
"216","New Orleans Pelicans",0,4,0,"4.0",1,3,100.8,115,"2015-11-3"
"217","Toronto Raptors*",5,0,1,"—",4,1,106,95.6,"2015-11-4"
"218","Atlanta Hawks*",5,1,0.833,"0.5",4,2,99.3,95.3,"2015-11-4"
"219","Cleveland Cavaliers*",4,1,0.8,"1.0",4,1,101.2,90.2,"2015-11-4"
"220","Detroit Pistons*",3,1,0.75,"1.5",2,2,94.5,92.3,"2015-11-4"
"221","Washington Wizards",3,1,0.75,"1.5",2,2,104.5,104,"2015-11-4"
"222","Chicago Bulls",3,2,0.6,"2.0",2,3,100.6,102,"2015-11-4"
"223","Miami Heat*",2,2,0.5,"2.5",2,2,99.3,95.8,"2015-11-4"
"224","Indiana Pacers*",2,3,0.4,"3.0",2,3,94.4,99,"2015-11-4"
"225","New York Knicks",2,3,0.4,"3.0",3,2,102,101.8,"2015-11-4"
"226","Milwaukee Bucks",2,3,0.4,"3.0",1,4,98.2,105.8,"2015-11-4"
"227","Boston Celtics*",1,3,0.25,"3.5",2,2,100,100.8,"2015-11-4"
"228","Charlotte Hornets*",1,3,0.25,"3.5",2,2,102.5,100,"2015-11-4"
"229","Orlando Magic",1,4,0.2,"4.0",2,3,105.4,106.4,"2015-11-4"
"230","Philadelphia 76ers",0,4,0,"4.5",0,4,88.3,102.3,"2015-11-4"
"231","Brooklyn Nets",0,5,0,"5.0",1,4,89.8,104.4,"2015-11-4"
"232","Golden State Warriors*",5,0,1,"—",5,0,117.6,96.8,"2015-11-4"
"233","Los Angeles Clippers*",4,1,0.8,"1.0",3,2,107.8,101.8,"2015-11-4"
"234","Minnesota Timberwolves",2,1,0.667,"2.0",2,1,102.7,98.3,"2015-11-4"
"235","San Antonio Spurs*",3,2,0.6,"2.0",4,1,99.2,92,"2015-11-4"
"236","Oklahoma City Thunder*",3,2,0.6,"2.0",3,2,114.2,109.6,"2015-11-4"
"237","Memphis Grizzlies*",3,2,0.6,"2.0",1,4,92.2,101.6,"2015-11-4"
"238","Portland Trail Blazers*",3,2,0.6,"2.0",3,2,101.6,99.6,"2015-11-4"
"239","Phoenix Suns",3,2,0.6,"2.0",3,2,104,98.4,"2015-11-4"
"240","Dallas Mavericks*",2,2,0.5,"2.5",2,2,98.3,98.5,"2015-11-4"
"241","Denver Nuggets",2,2,0.5,"2.5",2,2,99,101.5,"2015-11-4"
"242","Utah Jazz",2,2,0.5,"2.5",3,1,93.8,86.8,"2015-11-4"
"243","Houston Rockets*",2,3,0.4,"3.0",1,4,99,109,"2015-11-4"
"244","Sacramento Kings",1,4,0.2,"4.0",2,3,106.2,112,"2015-11-4"
"245","Los Angeles Lakers",0,4,0,"4.5",1,3,106.8,116.8,"2015-11-4"
"246","New Orleans Pelicans",0,4,0,"4.5",1,3,100.8,115,"2015-11-4"
"247","Toronto Raptors*",5,0,1,"—",4,1,106,95.6,"2015-11-5"
"248","Atlanta Hawks*",5,1,0.833,"0.5",4,2,99.3,95.3,"2015-11-5"
"249","Cleveland Cavaliers*",4,1,0.8,"1.0",4,1,101.2,90.2,"2015-11-5"
"250","Detroit Pistons*",3,1,0.75,"1.5",2,2,94.5,92.3,"2015-11-5"
"251","Washington Wizards",3,1,0.75,"1.5",2,2,104.5,104,"2015-11-5"
"252","Chicago Bulls",4,2,0.667,"1.5",3,3,101.2,101.3,"2015-11-5"
"253","Miami Heat*",3,2,0.6,"2.0",3,2,98.6,93.4,"2015-11-5"
"254","Indiana Pacers*",2,3,0.4,"3.0",2,3,94.4,99,"2015-11-5"
"255","Charlotte Hornets*",2,3,0.4,"3.0",3,2,103.6,98.8,"2015-11-5"
"256","New York Knicks",2,3,0.4,"3.0",3,2,102,101.8,"2015-11-5"
"257","Milwaukee Bucks",2,3,0.4,"3.0",1,4,98.2,105.8,"2015-11-5"
"258","Boston Celtics*",1,3,0.25,"3.5",2,2,100,100.8,"2015-11-5"
"259","Orlando Magic",1,4,0.2,"4.0",2,3,105.4,106.4,"2015-11-5"
"260","Philadelphia 76ers",0,4,0,"4.5",0,4,88.3,102.3,"2015-11-5"
"261","Brooklyn Nets",0,5,0,"5.0",1,4,89.8,104.4,"2015-11-5"
"262","Golden State Warriors*",5,0,1,"—",5,0,117.6,96.8,"2015-11-5"
"263","Los Angeles Clippers*",4,1,0.8,"1.0",3,2,107.8,101.8,"2015-11-5"
"264","Portland Trail Blazers*",4,2,0.667,"1.5",4,2,103.8,99,"2015-11-5"
"265","San Antonio Spurs*",3,2,0.6,"2.0",4,1,99.2,92,"2015-11-5"
"266","Phoenix Suns",3,2,0.6,"2.0",3,2,104,98.4,"2015-11-5"
"267","Utah Jazz",3,2,0.6,"2.0",4,1,94.2,86.2,"2015-11-5"
"268","Oklahoma City Thunder*",3,3,0.5,"2.5",4,2,111.5,108.7,"2015-11-5"
"269","Memphis Grizzlies*",3,3,0.5,"2.5",1,5,92.8,103.8,"2015-11-5"
"270","Minnesota Timberwolves",2,2,0.5,"2.5",2,2,98,97.8,"2015-11-5"
"271","Houston Rockets*",2,3,0.4,"3.0",1,4,99,109,"2015-11-5"
"272","Dallas Mavericks*",2,3,0.4,"3.0",2,3,97.4,100.4,"2015-11-5"
"273","Denver Nuggets",2,3,0.4,"3.0",2,3,96,100.4,"2015-11-5"
"274","Sacramento Kings",1,4,0.2,"4.0",2,3,106.2,112,"2015-11-5"
"275","Los Angeles Lakers",0,4,0,"4.5",1,3,106.8,116.8,"2015-11-5"
"276","New Orleans Pelicans",0,4,0,"4.5",1,3,100.8,115,"2015-11-5"
"277","Atlanta Hawks*",6,1,0.857,"—",5,2,102.4,98.1,"2015-11-6"
"278","Cleveland Cavaliers*",5,1,0.833,"0.5",5,1,102.3,92.2,"2015-11-6"
"279","Toronto Raptors*",5,1,0.833,"0.5",5,1,102.8,95,"2015-11-6"
"280","Detroit Pistons*",4,1,0.8,"1.0",3,2,95.6,92.2,"2015-11-6"
"281","Chicago Bulls",4,2,0.667,"1.5",3,3,101.2,101.3,"2015-11-6"
"282","Washington Wizards",3,2,0.6,"2.0",2,3,103.2,106.8,"2015-11-6"
"283","Miami Heat*",3,3,0.5,"2.5",4,2,96.7,92.8,"2015-11-6"
"284","Indiana Pacers*",3,3,0.5,"2.5",2,4,93.7,97,"2015-11-6"
"285","Milwaukee Bucks",3,3,0.5,"2.5",2,4,98.3,103.5,"2015-11-6"
"286","Boston Celtics*",2,3,0.4,"3.0",3,2,103.6,100.2,"2015-11-6"
"287","Charlotte Hornets*",2,3,0.4,"3.0",3,2,103.6,98.8,"2015-11-6"
"288","New York Knicks",2,4,0.333,"3.5",3,3,100.3,101.3,"2015-11-6"
"289","Orlando Magic",2,4,0.333,"3.5",3,3,103.2,103.2,"2015-11-6"
"290","Philadelphia 76ers",0,5,0,"5.0",1,4,91,103.4,"2015-11-6"
"291","Brooklyn Nets",0,6,0,"5.5",1,5,91.2,104.3,"2015-11-6"
"292","Golden State Warriors*",6,0,1,"—",6,0,117.8,98,"2015-11-6"
"293","Los Angeles Clippers*",4,1,0.8,"1.5",3,2,107.8,101.8,"2015-11-6"
"294","Portland Trail Blazers*",4,2,0.667,"2.0",4,2,103.8,99,"2015-11-6"
"295","San Antonio Spurs*",3,2,0.6,"2.5",4,1,99.2,92,"2015-11-6"
"296","Utah Jazz",3,2,0.6,"2.5",4,1,94.2,86.2,"2015-11-6"
"297","Oklahoma City Thunder*",3,3,0.5,"3.0",4,2,111.5,108.7,"2015-11-6"
"298","Memphis Grizzlies*",3,3,0.5,"3.0",1,5,92.8,103.8,"2015-11-6"
"299","Houston Rockets*",3,3,0.5,"3.0",2,4,101.8,109.2,"2015-11-6"
"300","Phoenix Suns",3,3,0.5,"3.0",4,2,102,98.7,"2015-11-6"
"301","Minnesota Timberwolves",2,2,0.5,"3.0",2,2,98,97.8,"2015-11-6"
"302","Dallas Mavericks*",2,3,0.4,"3.5",2,3,97.4,100.4,"2015-11-6"
"303","Denver Nuggets",2,4,0.333,"4.0",2,4,97.3,103.5,"2015-11-6"
"304","Los Angeles Lakers",1,4,0.2,"4.5",1,4,106.2,113,"2015-11-6"
"305","Sacramento Kings",1,5,0.167,"5.0",2,4,106.8,112.7,"2015-11-6"
"306","New Orleans Pelicans",0,5,0,"5.5",1,4,103.6,116.2,"2015-11-6"
"307","Atlanta Hawks*",7,1,0.875,"—",5,3,103.9,98.3,"2015-11-7"
"308","Cleveland Cavaliers*",5,1,0.833,"1.0",5,1,102.3,92.2,"2015-11-7"
"309","Toronto Raptors*",5,1,0.833,"1.0",5,1,102.8,95,"2015-11-7"
"310","Detroit Pistons*",4,1,0.8,"1.5",3,2,95.6,92.2,"2015-11-7"
"311","Chicago Bulls",4,3,0.571,"2.5",3,4,100,101.4,"2015-11-7"
"312","Milwaukee Bucks",4,3,0.571,"2.5",3,4,97.7,101,"2015-11-7"
"313","Miami Heat*",3,3,0.5,"3.0",4,2,96.7,92.8,"2015-11-7"
