game_id,player,season,date,team,opponent,location,city,w_l,route,distance,tz,flight_time,team_rest,player_rest,games_played,mins,pts,shift_hrs,fgm,fga,pct_fg,fg3m,fg3a,pct_fg3,pct_ft,fg2m,fg2a,pct_fg2,ftm,fta,oreb,dreb,treb,ast,stl,blk,tov,pf,plusminus,b2b,b2b_1st,b2b_2nd,x3in4,x4in5,x5in7,traveling_west,traveling_east,pctEFG,pctTS,pctUSG,ortg,drtg,netrtg,pacePer40PACE_PER40,ratioPIE
21100328,Kawhi Leonard,2011-12,2012-02-02,San Antonio Spurs,New Orleans Hornets,Home,San Antonio,W,No Travel,0,America/Chicago,-,0,0,24,12,2,0,1,1,1,0,0,0,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,-4,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,1,0.045,100,126.3,-26.3,65.64,0.073
21100350,Kawhi Leonard,2011-12,2012-02-04,San Antonio Spurs,Oklahoma City Thunder,Home,San Antonio,W,No Travel,0,America/Chicago,-,1,1,25,31,15,0,5,7,0.714,3,3,1,1,2,4,0.5,2,2,1,5,6,5,1,1,0,3,15,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0.929,0.952,0.118,119.4,95.2,24.2,79.4,0.186
21100363,Kawhi Leonard,2011-12,2012-02-06,San Antonio Spurs,Memphis Grizzlies,Away,Memphis,W,San Antonio - Memphis,631,America/Chicago,~1.4 hours,1,1,26,28,4,0,1,4,0.25,1,2,0.5,0.5,0,2,0,1,2,0,2,2,0,1,0,1,1,-4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.375,0.41,0.097,83.6,86.2,-2.6,80.97,0.013
21100374,Kawhi Leonard,2011-12,2012-02-08,San Antonio Spurs,Philadelphia 76ers,Away,Philadelphia,W,Memphis - Philadelphia,882,America/New_York,~1.96 hours,1,1,27,23,2,1,1,4,0.25,0,0,0,NA,1,4,0.25,0,0,1,2,3,0,2,0,0,2,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.25,0.25,0.082,118.6,97.7,20.9,77.04,0.016
21100403,Kawhi Leonard,2011-12,2012-02-11,San Antonio Spurs,New Jersey Nets,Away,Newark,W,Philadelphia - Newark,70,America/New_York,~55 minutes,2,2,28,27,5,0,1,2,0.5,1,1,1,1,0,1,0,2,2,3,5,8,0,2,1,0,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.75,0.868,0.053,111.8,108.2,3.6,74.51,0.121
21100422,Kawhi Leonard,2011-12,2012-02-14,San Antonio Spurs,Detroit Pistons,Away,Detroit,W,Newark - Detroit,476,America/Detroit,~1.06 hours,2,2,29,19,11,0,4,6,0.667,2,3,0.6666666666666666,1,2,3,0.6666666666666666,1,1,0,4,4,1,2,1,3,2,-7,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.833,0.854,0.196,108.8,125.7,-16.9,73.8,0.174
21100429,Kawhi Leonard,2011-12,2012-02-15,San Antonio Spurs,Toronto Raptors,Away,Toronto,W,Detroit - Toronto,207,America/Toronto,~55 minutes,0,0,30,15,0,0,0,1,0,0,1,0,NA,0,0,0,0,0,0,2,2,1,0,0,0,0,-5,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0.03,109.4,125,-15.6,83.95,0.029
21100456,Kawhi Leonard,2011-12,2012-02-18,San Antonio Spurs,Los Angeles Clippers,Away,Los Angeles,W,Toronto - Los Angeles,2179,America/Los_Angeles,~4.84 hours,2,2,31,18,4,-3,2,6,0.333,0,3,0,NA,2,3,0.6666666666666666,0,0,2,1,3,3,1,2,0,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.333,0.333,0.143,100,85,15,88.77,0.058
21100477,Kawhi Leonard,2011-12,2012-02-20,San Antonio Spurs,Utah Jazz,Away,Salt Lake City,W,Los Angeles - Salt Lake City,582,America/Denver,~1.29 hours,1,1,32,30,4,1,1,3,0.333,0,1,0,1,1,2,0.5,2,2,4,4,8,0,2,0,1,1,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.333,0.515,0.076,123.7,107.9,15.8,82.66,0.067
21100485,Kawhi Leonard,2011-12,2012-02-21,San Antonio Spurs,Portland Trail Blazers,Away,Portland,L,Salt Lake City - Portland,632,America/Los_Angeles,~1.4 hours,0,0,33,43,24,-1,9,14,0.643,2,4,0.5,0.667,7,10,0.7,4,6,2,8,10,1,5,1,2,1,-21,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,0.714,0.721,0.188,106.8,127.8,-21,82.79,0.161
