Date,Team,Season,Month,Week,Opponent,Visitor,City,Win,Distance,Route,Rest,TZ,shift,direction,Latitude,Longitude,B2B,b2b_2nd,b2b_1st,three_in_four,four_in_five,five_in_seven,flight_duration,team_id,game_id,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,score_diff
2016-11-03,Minnesota Timberwolves,2016-17,Nov,44,Denver Nuggets,FALSE,Minneapolis,FALSE,0,No Travel,1,America/Chicago,0,-,44.96,-93.27,No,No,No,No,No,No,0,1610612750,21600067,35,88,0.398,9,22,0.409,20,25,0.8,14,29,43,20,16,8,4,2,22,24,99,-3
2016-11-03,Oklahoma City Thunder,2016-17,Nov,44,Golden State Warriors,TRUE,San Francisco,FALSE,339,Los Angeles - San Francisco,0,America/Los_Angeles,0,-,37.77,-122.45,Yes,No,Yes,No,No,No,1,1610612760,21600069,35,87,0.402,10,27,0.37,16,28,0.571,13,28,41,20,16,8,6,14,20,18,96,-26
2016-11-03,Orlando Magic,2016-17,Nov,44,Sacramento Kings,FALSE,Orlando,TRUE,871,Philadelphia - Orlando,1,America/New_York,0,-,28.5,-81.37,No,No,No,No,No,No,1.58,1610612753,21600065,38,84,0.452,10,30,0.333,16,23,0.696,13,31,44,24,14,5,4,1,14,23,102,8
2016-11-03,Sacramento Kings,2016-17,Nov,44,Orlando Magic,TRUE,Orlando,FALSE,201,Miami - Orlando,1,America/New_York,0,-,28.5,-81.37,No,No,No,Yes,No,No,1,1610612758,21600065,38,80,0.475,7,18,0.389,11,17,0.647,11,28,39,17,14,8,1,4,23,14,94,-8
2016-11-04,Atlanta Hawks,2016-17,Nov,45,Washington Wizards,TRUE,Washington,FALSE,544,Atlanta - Washington,1,America/New_York,0,-,38.91,-77.02,Yes,Yes,No,No,No,No,1,1610612737,21600070,32,83,0.386,5,25,0.2,23,36,0.639,10,37,47,22,18,12,3,3,24,23,92,-3
2016-11-04,Brooklyn Nets,2016-17,Nov,45,Charlotte Hornets,FALSE,New York,FALSE,0,No Travel,1,America/New_York,0,-,40.67,-73.94,No,No,No,No,No,No,0,1610612751,21600072,35,87,0.402,9,36,0.25,16,21,0.762,7,39,46,20,16,12,4,3,22,18,95,-4
2016-11-04,Charlotte Hornets,2016-17,Nov,45,Brooklyn Nets,TRUE,New York,TRUE,533,Charlotte - New York,1,America/New_York,0,-,40.67,-73.94,No,No,No,No,No,No,1,1610612766,21600072,36,86,0.419,10,30,0.333,17,24,0.708,7,42,49,24,16,7,3,4,18,22,99,4
2016-11-04,Chicago Bulls,2016-17,Nov,45,New York Knicks,FALSE,Chicago,FALSE,854,Boston - Chicago,1,America/Chicago,-1,West,41.84,-87.68,Yes,Yes,No,No,No,No,1.55,1610612741,21600073,37,84,0.44,8,23,0.348,22,27,0.815,15,27,42,15,13,4,4,2,16,23,104,-13
2016-11-04,Dallas Mavericks,2016-17,Nov,45,Portland Trail Blazers,FALSE,Dallas,FALSE,1003,Salt Lake City - Dallas,1,America/Chicago,1,East,32.79,-96.77,No,No,No,No,No,No,1.82,1610612742,21600076,34,83,0.41,10,28,0.357,17,20,0.85,7,37,44,18,13,5,3,3,21,20,95,-10
2016-11-04,Golden State Warriors,2016-17,Nov,45,Los Angeles Lakers,TRUE,Los Angeles,FALSE,339,San Francisco - Los Angeles,0,America/Los_Angeles,0,-,34.11,-118.41,Yes,No,Yes,Yes,No,No,1,1610612744,21600078,39,86,0.453,5,32,0.156,14,20,0.7,9,31,40,26,20,13,3,5,13,19,97,-20
