Opponent,Team,Date,Season,Month,Week,Visitor,City,Win,Distance,Route,Rest,TZ,shift,direction,Latitude,Longitude,B2B,b2b_2nd,b2b_1st,three_in_four,four_in_five,five_in_seven,flight_duration,game_id,matchup,score_diff,traveling_west,traveling_east,avg_score_diff_home,avg_score_diff_away,adjusted_score_diff,w,l,w_lpercent,ps_g,pa_g,opp_win_percent,win_percent_diff,off_rating,def_rating,net_rating,pace,opp_off_rating,opp_def_rating,opp_net_rating,opp_pace,net_rating_diff,pace_diff
Philadelphia 76ers,Detroit Pistons,2016-03-12,2015-16,Mar,11,TRUE,Philadelphia,TRUE,456,Charlotte - Philadelphia,0,America/New_York,0,-,40.01,-75.13,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,21500976,DET @ PHI,14,FALSE,FALSE,5,-4.175,18.175,34,32,0.515,102,100.9,0.136,0.379,105.3,104.9,0.3,95.75,98.4,108.6,-10.2,98.44,10.5,-2.6899999999999977
Philadelphia 76ers,Charlotte Hornets,2015-11-20,2015-16,Nov,47,FALSE,Charlotte,TRUE,0,No Travel,1,America/New_York,0,-,35.2,-80.83,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,21500178,CHA vs. PHI,25,FALSE,FALSE,6.365853658536586,-0.7,18.634146341463413,7,6,0.538,102.8,99.5,0,0.538,106.4,103.7,2.7,96.24,98.4,108.6,-10.2,98.44,12.899999999999999,-2.200000000000003
Philadelphia 76ers,Houston Rockets,2016-03-09,2015-16,Mar,10,TRUE,Philadelphia,TRUE,333,Toronto - Philadelphia,2,America/New_York,0,-,40.01,-75.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,21500951,HOU @ PHI,14,FALSE,FALSE,2.225,-1.2926829268292683,15.292682926829269,32,32,0.5,105.8,106.9,0.125,0.375,107.3,107.3,0,98.42,98.4,108.6,-10.2,98.44,10.2,-0.01999999999999602
Philadelphia 76ers,Milwaukee Bucks,2016-04-10,2015-16,Apr,15,TRUE,Philadelphia,TRUE,268,Boston - Philadelphia,1,America/New_York,0,-,40.01,-75.13,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,21501197,MIL @ PHI,1,FALSE,FALSE,-0.425,-7.341463414634147,8.341463414634147,33,47,0.413,99.2,103.3,0.125,0.288,103.4,107.8,-4.5,95.05,98.4,108.6,-10.2,98.44,5.699999999999999,-3.3900000000000006
Philadelphia 76ers,Brooklyn Nets,2016-02-06,2015-16,Feb,6,TRUE,Philadelphia,FALSE,78,New York - Philadelphia,0,America/New_York,0,-,40.01,-75.13,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,21500764,BKN @ PHI,-5,FALSE,FALSE,-4.825,-9.634146341463415,4.634146341463415,13,39,0.25,96.3,103.5,0.157,0.093,102.4,109.7,-7.4,96.12,98.4,108.6,-10.2,98.44,2.799999999999999,-2.319999999999993
Philadelphia 76ers,Milwaukee Bucks,2015-12-23,2015-16,Dec,51,FALSE,Milwaukee,TRUE,1457,Phoenix - Milwaukee,2,America/Chicago,1,East,43.06,-87.97,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.65,21500430,MIL vs. PHI,13,FALSE,TRUE,-0.425,-7.341463414634147,13.425,12,18,0.4,96.6,102,0.032,0.368,103.4,107.8,-4.5,95.05,98.4,108.6,-10.2,98.44,5.699999999999999,-3.3900000000000006
Philadelphia 76ers,Atlanta Hawks,2015-12-16,2015-16,Dec,50,FALSE,Atlanta,TRUE,0,No Travel,1,America/New_York,0,-,33.76,-84.42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21500376,ATL vs. PHI,21,FALSE,FALSE,6.35,1.3170731707317074,14.65,15,12,0.556,100.7,100,0.037,0.519,104.6,100.8,3.9,97.63,98.4,108.6,-10.2,98.44,14.1,-0.8100000000000023
Philadelphia 76ers,Minnesota Timberwolves,2016-01-04,2015-16,Jan,1,TRUE,Philadelphia,FALSE,983,Minneapolis - Philadelphia,1,America/New_York,1,East,40.01,-75.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.79,21500512,MIN @ PHI,-10,FALSE,TRUE,-3.8048780487804876,-3.375,-6.625,12,23,0.343,99.7,102.9,0.108,0.23500000000000004,105.4,109,-3.5,96.2,98.4,108.6,-10.2,98.44,6.699999999999999,-2.239999999999995
Philadelphia 76ers,Golden State Warriors,2016-01-30,2015-16,Jan,5,TRUE,Philadelphia,TRUE,2521,San Francisco - Philadelphia,2,America/New_York,3,East,40.01,-75.13,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,4.58,21500707,GSW @ PHI,3,FALSE,TRUE,14.35,7.121951219512195,-4.121951219512195,43,4,0.915,115,102.5,0.146,0.769,113.5,102.8,10.6,100.24,98.4,108.6,-10.2,98.44,20.799999999999997,1.7999999999999972
Philadelphia 76ers,Chicago Bulls,2015-11-09,2015-16,Nov,45,TRUE,Philadelphia,TRUE,667,Chicago - Philadelphia,1,America/New_York,1,East,40.01,-75.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.21,21500100,CHI @ PHI,23,FALSE,TRUE,1.625,-4.585365853658536,27.585365853658537,5,3,0.625,101.4,99.8,0,0.625,104.1,105.5,-1.4,96.6,98.4,108.6,-10.2,98.44,8.799999999999999,-1.8400000000000034
