"PlayerPosition","idPlayer","namePlayer"
"C",1628392,"Isaiah Hartenstein"
"C",1628383,"Justin Patton"
"C",1629118,"Thomas Welsh"
"C",1629093,"Tyler Davis"
"C",1628374,"Lauri Markkanen"
"C",1629675,"Naz Reid"
"C",1628394,"Anzejs Pasecniks"
"C",1626204,"Larry Nance Jr."
"C",1629234,"Drew Eubanks"
"C",1629637,"Jaxson Hayes"
"C",1628449,"Chris Boucher"
"C",1629651,"Nicolas Claxton"
"C",203210,"JaMychal Green"
"C",1629626,"Bol Bol"
"C",1629667,"Jalen McDaniels"
"C",1628450,"Eric Mika"
"C",1628981,"Bruno Fernando"
"C",1629655,"Daniel Gafford"
"C",1627767,"Cheick Diallo"
"C",1629048,"Goga Bitadze"
"C",1629002,"Chimezie Metu"
"C",1629738,"Vincent Poirier"
"C",1629662,"Mfiondu Kabengele"
"C",1629734,"Kyle Alexander"
"C",1629605,"Tacko Fall"
"C",1629650,"Moses Brown"
"C",1629731,"Dean Wade"
"C",1629716,"Marques Bolden"
"C",1629608,"Dewan Hernandez"
"C",1627740,"Henry Ellenson"
"C",1630191,"Isaiah Stewart"
"C",1630164,"James Wiseman"
"C",1630197,"Aleksej Pokusevski"
"C",203967,"Dario Saric"
"C",1629743,"Donta Hall"
"C",1630168,"Onyeka Okongwu"
"C",203658,"Norvel Pelle"
"C",1630192,"Zeke Nnaji"
"C",1629681,"Killian Tillie"
"C",1630233,"Nathan Knight"
"C",1629007,"Jontay Porter"
"C",1629617,"Reggie Perry"
"C",1630188,"Jalen Smith"
"C",1628578,"Amida Brimah"
"C",1630187,"Daniel Oturu"
"C",1630208,"Nick Richards"
"C",1630176,"Vernon Carey Jr."
"C",1628962,"Udoka Azubuike"
"G",202689,"Kemba Walker"
"G",202331,"Paul George"
"G",201935,"James Harden"
"G",202391,"Jeremy Lin"
"G",202710,"Jimmy Butler"
"G",203506,"Victor Oladipo"
"G",202691,"Klay Thompson"
"G",201950,"Jrue Holiday"
"G",203078,"Bradley Beal"
"G",201588,"George Hill"
"G",203081,"Damian Lillard"
"G",202738,"Isaiah Thomas"
"G",201937,"Ricky Rubio"
"G",202681,"Kyrie Irving"
"G",201975,"Jodie Meeks"
"G",200768,"Kyle Lowry"
"G",101181,"Jose Calderon"
"G",202339,"Eric Bledsoe"
"G",201565,"Derrick Rose"
"G",201144,"Mike Conley"
"G",202323,"Evan Turner"
"G",101145,"Monta Ellis"
"G",202688,"Brandon Knight"
"G",2738,"Andre Iguodala"
"G",101114,"Deron Williams"
"G",202083,"Wesley Matthews"
"G",977,"Kobe Bryant"
"G",201980,"Danny Green"
"G",203487,"Michael Carter-Williams"
"G",2594,"Kyle Korver"
"G",202692,"Alec Burks"
"G",2225,"Tony Parker"
"G",201939,"Stephen Curry"
"G",101109,"Raymond Felton"
"G",202322,"John Wall"
"G",201167,"Arron Afflalo"
"G",202695,"Kawhi Leonard"
"G",2550,"Kirk Hinrich"
"G",101108,"Chris Paul"
"G",201943,"Brandon Jennings"
"G",202704,"Reggie Jackson"
