"","isActive","isRookie","namePlayer","idPlayer","countSeasons","yearSeasonFirst","yearSeasonLast"
"344",FALSE,FALSE,"Nate Blackwell",76179,0,1987,1987
"345",FALSE,FALSE,"DeJuan Blair",201971,6,2009,2015
"346",FALSE,FALSE,"Steve Blake",2581,12,2003,2015
"347",FALSE,FALSE,"Marqus Blakely",202392,0,2010,2010
"348",FALSE,FALSE,"Antonio Blakeney",1628469,1,2017,2018
"349",FALSE,FALSE,"Will Blalock",200807,0,2006,2006
"350",FALSE,FALSE,"George Blaney",76182,0,1961,1961
"351",FALSE,FALSE,"Lance Blanks",76183,2,1990,1992
"352",FALSE,FALSE,"Ricky Blanton",76184,0,1992,1992
"353",FALSE,FALSE,"Andray Blatche",101154,8,2005,2013
"354",FALSE,FALSE,"Mookie Blaylock",302,12,1989,2001
"355",TRUE,FALSE,"Eric Bledsoe",202339,10,2010,2020
"356",TRUE,TRUE,"Keljin Blevins",1629833,0,2020,2020
"357",FALSE,FALSE,"Leon Blevins",76186,0,1950,1950
"358",FALSE,FALSE,"John Block",76187,9,1966,1975
"359",FALSE,FALSE,"Mike Bloom",76188,1,1947,1948
"360",FALSE,FALSE,"Jaron Blossomgame",1628417,0,2018,2018
"361",FALSE,FALSE,"Corie Blount",916,10,1993,2003
"362",FALSE,FALSE,"Mark Blount",1548,8,2000,2008
"363",FALSE,FALSE,"Vander Blue",203505,4,2013,2017
"364",FALSE,FALSE,"Trevon Bluiett",1629129,0,2018,2018
"365",FALSE,FALSE,"Ray Blume",76189,0,1981,1981
"366",FALSE,FALSE,"Nelson Bobb",76190,3,1949,1952
"367",FALSE,FALSE,"Tony Bobbitt",2800,0,2004,2004
"368",FALSE,FALSE,"Arlen Bockhorn",76191,6,1958,1964
"369",FALSE,FALSE,"Tom Boerwinkle",76192,9,1968,1977
"370",FALSE,FALSE,"Keith Bogans",2586,10,2003,2013
"371",TRUE,FALSE,"Bogdan Bogdanovic",203992,3,2017,2020
"372",TRUE,FALSE,"Bojan Bogdanovic",202711,6,2014,2020
"373",FALSE,FALSE,"Muggsy Bogues",177,13,1987,2000
"374",FALSE,FALSE,"Andrew Bogut",101106,13,2005,2018
"375",FALSE,FALSE,"Etdrick Bohannon",1564,3,1997,2000
"376",TRUE,FALSE,"Bol Bol",1629626,1,2019,2020
"377",FALSE,FALSE,"Manute Bol",76195,9,1985,1994
"378",FALSE,FALSE,"Jonah Bolden",1628413,1,2018,2019
"379",FALSE,FALSE,"Marques Bolden",1629716,1,2019,2020
"380",FALSE,FALSE,"Bill Bolger",76196,0,1953,1953
"381",FALSE,FALSE,"Joel Bolomboy",1627762,1,2016,2017
"382",FALSE,FALSE,"Doug Bolstorff",76197,0,1957,1957
"383",FALSE,FALSE,"George H. Bon Salle",76203,0,1961,1961
"384",FALSE,FALSE,"Phil Bond",76198,0,1977,1977
"385",FALSE,FALSE,"Walter Bond",1603,2,1992,1994
"386",FALSE,FALSE,"Jordan Bone",1629648,1,2019,2020
"387",FALSE,FALSE,"Dexter Boney",1121,0,1996,1996
"388",TRUE,FALSE,"Isaac Bonga",1629067,2,2018,2020
"389",FALSE,FALSE,"Ron Bonham",76201,1,1964,1965
"390",FALSE,FALSE,"Anthony Bonner",41,12,1990,2002
"391",FALSE,FALSE,"Matt Bonner",2588,11,2004,2015
"392",TRUE,FALSE,"Devin Booker",1626164,5,2015,2020
"393",FALSE,FALSE,"Melvin Booker",511,1,1995,1996
"394",FALSE,FALSE,"Trevor Booker",202344,7,2010,2017
"395",FALSE,FALSE,"Josh Boone",200767,3,2006,2009
"396",FALSE,FALSE,"Ron Boone",76204,4,1976,1980
"397",FALSE,FALSE,"Calvin Booth",1916,9,1999,2008
"398",FALSE,FALSE,"Keith Booth",1522,1,1997,1998
"399",FALSE,FALSE,"Bob Boozer",76206,10,1960,1970
"400",FALSE,FALSE,"Carlos Boozer",2430,12,2002,2014
"401",FALSE,FALSE,"Curtis Borchardt",2414,2,2002,2004
"402",FALSE,FALSE,"Jake Bornheimer",76207,1,1948,1949
"403",FALSE,FALSE,"Lazaro Borrell",1953,0,1999,1999
"404",FALSE,FALSE,"Costic Borsavage",76209,0,1950,1950
"405",FALSE,FALSE,"Vince Boryla",76210,4,1949,1953
"406",FALSE,FALSE,"Chris Bosh",2547,13,2003,2016
"407",FALSE,FALSE,"Jim Bostic",76211,0,1977,1977
"408",FALSE,FALSE,"Lawrence Boston",76212,0,1979,1979
"409",FALSE,FALSE,"Tom Boswell",76213,8,1975,1983
"410",TRUE,FALSE,"Chris Boucher",1628449,3,2017,2020
"411",FALSE,FALSE,"Ruben Boumtje-Boumtje",2257,2,2001,2003
"412",FALSE,FALSE,"Don Boven",76214,3,1949,1952
"413",FALSE,FALSE,"Cal Bowdler",1898,2,1999,2001
"414",FALSE,FALSE,"Bruce Bowen",1477,12,1996,2008
"415",FALSE,FALSE,"Ryan Bowen",1763,10,1999,2009
"416",FALSE,FALSE,"Brian Bowen II",1628968,1,2019,2020
"417",FALSE,FALSE,"Anthony Bowie",194,9,1988,1997
"418",FALSE,FALSE,"Sam Bowie",76217,10,1984,1994
"419",FALSE,FALSE,"Ira Bowman",1085,2,1999,2001
"420",FALSE,FALSE,"Ky Bowman",1629065,0,2019,2019
"421",FALSE,FALSE,"Nate Bowman",76219,4,1966,1970
"422",FALSE,FALSE,"Donnie Boyce",671,1,1995,1996
"423",FALSE,FALSE,"Dennis Boyd",76221,0,1978,1978
"424",FALSE,FALSE,"Fred Boyd",76222,5,1972,1977
"425",FALSE,FALSE,"Ken Boyd",76223,0,1974,1974
"426",FALSE,FALSE,"Earl Boykins",1863,13,1998,2011
"427",FALSE,FALSE,"Harry Boykoff",76224,1,1949,1950
"428",FALSE,FALSE,"Winford Boynes",76225,2,1978,1980
"429",FALSE,FALSE,"Cedric Bozeman",200841,0,2006,2006
"430",FALSE,FALSE,"Steve Bracey",76226,2,1972,1974
"431",FALSE,FALSE,"Craig Brackins",202342,1,2010,2011
"432",FALSE,FALSE,"Gary Bradds",76227,1,1964,1965
"433",FALSE,FALSE,"Alex Bradley",76228,0,1981,1981
"434",FALSE,FALSE,"Alonzo Bradley",76229,2,1977,1979
"435",TRUE,FALSE,"Avery Bradley",202340,10,2010,2020
"436",FALSE,FALSE,"Bill Bradley",76233,9,1967,1976
"437",FALSE,FALSE,"Charles Bradley",76230,2,1981,1983
"438",FALSE,FALSE,"Dudley Bradley",76231,9,1979,1988
"439",FALSE,FALSE,"Joe Bradley",76232,0,1949,1949
"440",FALSE,FALSE,"Michael Bradley",2214,4,2001,2005
"441",FALSE,FALSE,"Shawn Bradley",762,11,1993,2004
"442",TRUE,FALSE,"Tony Bradley",1628396,3,2017,2020
"443",FALSE,FALSE,"Mark Bradtke",1361,0,1996,1996
