"","test_actual","test_fold","type","test_preds"
"238",-15.6,"6","w40_t",-2.21140912767325
"239",-15.6,"6","w40_td",-1.95333351501387
"240",-15.6,"6","w60_tf",-3.25390746900324
"241",-1.1,"6","sn_net_rating_diff",-6.60236010635918
"242",-1.1,"6","w60_en",-5.93383888372611
"243",-1.1,"6","w_40",-6.50569907762298
"244",-1.1,"6","w40_t",-6.55877843096139
"245",-1.1,"6","w40_td",-6.07439278340616
"246",-1.1,"6","w60_tf",-6.41593119999524
"247",7.7,"6","sn_net_rating_diff",-11.8054911270229
"248",7.7,"6","w60_en",-10.8784067712214
"249",7.7,"6","w_40",-12.3191635950252
"250",7.7,"6","w40_t",-12.5825780332155
"251",7.7,"6","w40_td",-12.7878847663588
"252",7.7,"6","w60_tf",-11.6205019980862
"253",-7.2,"6","sn_net_rating_diff",-1.88100047649769
"254",-7.2,"6","w60_en",-1.82430841375446
"255",-7.2,"6","w_40",-1.71617635443538
"256",-7.2,"6","w40_t",-1.99020963020563
"257",-7.2,"6","w40_td",-1.95487886700246
"258",-7.2,"6","w60_tf",-1.23242440881916
"259",-1,"6","sn_net_rating_diff",-0.146623469609794
"260",-1,"6","w60_en",0.468714195029454
"261",-1,"6","w_40",-0.0469463904243046
"262",-1,"6","w40_t",0.407238117139672
"263",-1,"6","w40_td",0.85787101033839
"264",-1,"6","w60_tf",0.888426293401518
"265",2.5,"6","sn_net_rating_diff",-0.628394860411987
"266",2.5,"6","w60_en",0.0111381790874032
"267",2.5,"6","w_40",-0.697572310987382
"268",2.5,"6","w40_t",0.483797372147914
"269",2.5,"6","w40_td",0.792678796049991
"270",2.5,"6","w60_tf",1.2110992964035
"271",-15,"6","sn_net_rating_diff",4.5747361602517
"272",-15,"6","w60_en",3.2840331016847
"273",-15,"6","w_40",4.20576995541369
"274",-15,"6","w40_t",3.97001452797033
"275",-15,"6","w40_td",2.80939187007942
"276",-15,"6","w60_tf",2.35403463469263
"277",-13.9,"6","sn_net_rating_diff",-2.6518347017812
"278",-13.9,"6","w60_en",-2.78788829161079
"279",-13.9,"6","w_40",-2.41226560340557
"280",-13.9,"6","w40_t",-2.74788385661601
"281",-13.9,"6","w40_td",-2.6243740256807
"282",-13.9,"6","w60_tf",-2.3910238631788
"283",-13.7,"6","sn_net_rating_diff",3.80390193496819
"284",-13.7,"6","w60_en",1.73149549440383
"285",-13.7,"6","w_40",3.85172996302837
"286",-13.7,"6","w40_t",3.0671566945986
"287",-13.7,"6","w40_td",2.69791074008461
"288",-13.7,"6","w60_tf",1.37038549810359
"289",-22.2,"6","sn_net_rating_diff",-13.154451021269
"290",-22.2,"6","w60_en",-11.057200923196
"291",-22.2,"6","w_40",-13.3774079862073
"292",-22.2,"6","w40_t",-13.369920332518
"293",-22.2,"6","w40_td",-13.3682606249226
"294",-22.2,"6","w60_tf",-13.1972467719001
"295",-16.8,"6","sn_net_rating_diff",-12.8653881867877
"296",-16.8,"6","w60_en",-10.2138208002164
"297",-16.8,"6","w_40",-12.8878080129615
"298",-16.8,"6","w40_t",-12.8100679774269
"299",-16.8,"6","w40_td",-12.2859522038769
"300",-16.8,"6","w60_tf",-11.274215020154
"301",15.6,"6","sn_net_rating_diff",8.91067867747143
"302",15.6,"6","w60_en",6.66220921302411
"303",15.6,"6","w_40",8.85933366144799
"304",15.6,"6","w40_t",8.55332667207287
"305",15.6,"6","w40_td",8.03349391447232
"306",15.6,"6","w60_tf",6.59348621607438
"307",-14.5,"6","sn_net_rating_diff",-3.03725181442295
"308",-14.5,"6","w60_en",-3.38126776468159
"309",-14.5,"6","w_40",-2.48719821134438
"310",-14.5,"6","w40_t",-3.13182025336024
"311",-14.5,"6","w40_td",-2.42692564195758
"312",-14.5,"6","w60_tf",-3.35038762027227
"313",-4.9,"6","sn_net_rating_diff",-1.88100047649769
"314",-4.9,"6","w60_en",-1.33247651294568
"315",-4.9,"6","w_40",-1.5421380763052
"316",-4.9,"6","w40_t",-0.676790310043271
"317",-4.9,"6","w40_td",-0.0412504231954293
"318",-4.9,"6","w60_tf",0.29981063969106
"319",-15.4,"6","sn_net_rating_diff",-13.9252852465525
"320",-15.4,"6","w60_en",-11.7912281382353
"321",-15.4,"6","w_40",-13.7540503523758
"322",-15.4,"6","w40_t",-14.3646318503801
"323",-15.4,"6","w40_td",-14.2794190451708
"324",-15.4,"6","w60_tf",-11.5290668481869
"325",-28.3,"6","sn_net_rating_diff",-0.0502691914493556
"326",-28.3,"6","w60_en",-0.473554271903986
"327",-28.3,"6","w_40",-0.817601142815805
"328",-28.3,"6","w40_t",-1.11553146207444
"329",-28.3,"6","w40_td",-2.4845125455777
"330",-28.3,"6","w60_tf",-0.511943154916695
"331",-4.2,"6","sn_net_rating_diff",-0.532040582251549
"332",-4.2,"6","w60_en",-0.834782232102055
"333",-4.2,"6","w_40",-0.667726325225969
"334",-4.2,"6","w40_t",-0.128851361417038
"335",-4.2,"6","w40_td",-0.174267774169491
"336",-4.2,"6","w60_tf",-0.0278019743363336
"337",-8.3,"6","sn_net_rating_diff",-10.9383026235789
"338",-8.3,"6","w60_en",-9.33361546424974
"339",-8.3,"6","w_40",-10.7543035867093
"340",-8.3,"6","w40_t",-10.9781254612862
"341",-8.3,"6","w40_td",-10.8179364335697
"342",-8.3,"6","w60_tf",-10.2088483752344
"343",-4.3,"6","sn_net_rating_diff",-1.59193764201637
"344",-4.3,"6","w60_en",-2.59019489414286
"345",-4.3,"6","w_40",-1.67033631979855
"346",-4.3,"6","w40_t",-2.25889807702008
"347",-4.3,"6","w40_td",-2.78997543075399
"348",-4.3,"6","w60_tf",-3.78659415903347
"349",-10.1,"6","sn_net_rating_diff",-7.18048577532181
"350",-10.1,"6","w60_en",-6.7266881990407
"351",-10.1,"6","w_40",-7.12815822457074
"352",-10.1,"6","w40_t",-7.88955000300246
"353",-10.1,"6","w40_td",-8.05941327335404
"354",-10.1,"6","w60_tf",-8.43628876552049
