"team_id","team_abbreviation","team_name","gp","w","l","min","min1","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","season"
1610612738,"BOS","Boston Celtics",81,47,34,241.23,241.23,88626.32,16.79,8.72,8.06,4.18,4.56,3.84,2015
1610612751,"BKN","Brooklyn Nets",82,21,61,240.92,240.92,90029.8,17.05,9.14,7.91,4.26,4.53,3.98,2015
1610612766,"CHA","Charlotte Hornets",82,48,34,242.13,242.13,91570.16,17.34,9.53,7.81,4.31,4.68,3.93,2015
1610612741,"CHI","Chicago Bulls",82,42,40,242.74,242.74,90999.93,17.23,9.2,8.03,4.27,4.59,3.95,2015
1610612739,"CLE","Cleveland Cavaliers",82,57,25,242.13,242.13,87660.21,16.6,8.91,7.7,4.13,4.32,3.92,2015
1610612742,"DAL","Dallas Mavericks",82,42,40,243.96,243.96,89437.82,16.94,9.22,7.72,4.18,4.47,3.88,2015
1610612743,"DEN","Denver Nuggets",82,33,49,241.83,241.83,88698.55,16.8,9.09,7.71,4.18,4.52,3.83,2015
1610612765,"DET","Detroit Pistons",82,44,38,242.44,242.44,88896.52,16.84,9.08,7.76,4.18,4.47,3.88,2015
1610612744,"GSW","Golden State Warriors",82,73,9,242.44,242.44,90298.38,17.1,9.03,8.07,4.24,4.75,3.79,2015
1610612745,"HOU","Houston Rockets",82,41,41,241.83,241.83,88331.62,16.73,8.61,8.12,4.16,4.44,3.9,2015
1610612754,"IND","Indiana Pacers",82,45,37,242.44,242.44,88756.26,16.81,8.95,7.86,4.17,4.46,3.88,2015
1610612746,"LAC","LA Clippers",82,53,29,241.83,241.83,86969.22,16.47,8.65,7.82,4.1,4.33,3.87,2015
1610612747,"LAL","Los Angeles Lakers",82,17,65,240.61,240.61,88542.66,16.77,9.13,7.64,4.19,4.43,3.94,2015
1610612763,"MEM","Memphis Grizzlies",82,42,40,241.83,241.83,87182.1,16.51,8.92,7.59,4.11,4.32,3.88,2015
1610612748,"MIA","Miami Heat",82,48,34,241.83,241.83,88622.4,16.78,9.17,7.61,4.18,4.44,3.9,2015
1610612749,"MIL","Milwaukee Bucks",82,33,49,241.83,241.83,89691.21,16.99,8.82,8.17,4.22,4.47,3.98,2015
1610612750,"MIN","Minnesota Timberwolves",82,29,53,242.44,242.44,88851.38,16.83,8.86,7.96,4.18,4.42,3.93,2015
1610612740,"NOP","New Orleans Pelicans",82,30,52,241.22,241.22,90982.55,17.23,9.19,8.04,4.3,4.73,3.9,2015
1610612752,"NYK","New York Knicks",82,32,50,241.52,241.52,88820.95,16.82,9.22,7.6,4.19,4.47,3.89,2015
1610612760,"OKC","Oklahoma City Thunder",82,55,27,241.83,241.83,88322.9,16.73,8.92,7.81,4.16,4.52,3.81,2015
1610612753,"ORL","Orlando Magic",81,35,46,242.47,242.47,93894.47,17.78,9.52,8.27,4.41,4.77,4.05,2015
1610612755,"PHI","Philadelphia 76ers",82,10,72,241.52,241.52,92801.62,17.58,9.52,8.06,4.38,4.66,4.09,2015
1610612756,"PHX","Phoenix Suns",82,23,59,240.3,240.3,89232.28,16.9,8.97,7.93,4.23,4.5,3.96,2015
1610612757,"POR","Portland Trail Blazers",82,44,38,241.52,241.52,91007.21,17.24,9.48,7.76,4.29,4.65,3.93,2015
1610612758,"SAC","Sacramento Kings",81,33,48,241.54,241.54,89885.51,17.02,8.95,8.07,4.24,4.57,3.93,2015
1610612759,"SAS","San Antonio Spurs",82,67,15,240.3,240.3,90982.46,17.23,9.52,7.71,4.31,4.61,3.99,2015
1610612761,"TOR","Toronto Raptors",81,55,26,240.93,240.93,88527.59,16.77,9.28,7.49,4.18,4.4,3.94,2015
1610612762,"UTA","Utah Jazz",82,40,42,243.35,243.35,91418.94,17.31,9.64,7.68,4.28,4.55,3.98,2015
1610612764,"WAS","Washington Wizards",82,41,41,240.92,240.92,90059.91,17.06,8.88,8.17,4.25,4.64,3.9,2015
1610612737,"ATL","Atlanta Hawks",82,43,39,242.44,242.44,90044.27,17.05,9.03,8.03,4.24,4.58,3.91,2016
1610612738,"BOS","Boston Celtics",82,53,29,240.91,240.91,88655.85,16.79,8.91,7.88,4.19,4.48,3.91,2016
1610612751,"BKN","Brooklyn Nets",81,20,61,240.92,240.92,92019.98,17.43,9.28,8.15,4.35,4.74,3.98,2016
1610612766,"CHA","Charlotte Hornets",82,36,46,241.83,241.83,92157.4,17.45,9.59,7.86,4.34,4.7,3.97,2016
1610612741,"CHI","Chicago Bulls",82,41,41,241.22,241.22,89810.22,17.01,9.18,7.83,4.24,4.51,3.96,2016
1610612739,"CLE","Cleveland Cavaliers",82,51,31,242.44,242.44,86900.93,16.46,8.68,7.78,4.08,4.27,3.89,2016
