"player_id","player_name","team_id","team_abbreviation","gp","w","l","min","min1","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","date"
200745,"Andrea Bargnani",1610612751,"BKN",1,0,1,22.15,22.15,7640,1.45,0.78,0.66,3.79,4.25,3.88,"10/28/2015"
203952,"Andrew Wiggins",1610612750,"MIN",1,1,0,29.08,29.08,10164,1.93,1.04,0.89,3.93,4.17,3.7,"10/28/2015"
203076,"Anthony Davis",1610612740,"NOP",1,0,1,40.65,40.65,14670,2.78,1.45,1.33,4.14,4.51,3.79,"10/28/2015"
201627,"Anthony Morrow",1610612760,"OKC",1,1,0,21.63,21.63,7939,1.5,0.8,0.7,4.18,4.53,3.84,"10/28/2015"
201229,"Anthony Tolliver",1610612765,"DET",1,1,0,19.17,19.17,7279,1.38,0.78,0.6,4.39,4.82,3.93,"10/28/2015"
203462,"Archie Goodwin",1610612756,"PHX",1,0,1,17.4,17.4,6553,1.24,0.64,0.6,4.14,4.68,3.71,"10/28/2015"
203382,"Aron Baynes",1610612765,"DET",1,1,0,11.88,11.88,4307,0.82,0.48,0.33,4.05,4.49,3.47,"10/28/2015"
203085,"Austin Rivers",1610612746,"LAC",1,1,0,16.12,16.12,6406,1.21,0.61,0.61,4.49,4.7,4.3,"10/28/2015"
202340,"Avery Bradley",1610612738,"BOS",1,1,0,32.6,32.6,12293,2.33,1.09,1.24,4.24,4.66,3.92,"10/28/2015"
203463,"Ben McLemore",1610612758,"SAC",1,0,1,20.07,20.07,8345,1.58,0.85,0.73,4.8,5.36,4.23,"10/28/2015"
2757,"Beno Udrih",1610612763,"MEM",1,0,1,14.73,14.73,6079,1.15,0.66,0.49,4.9,5.4,4.34,"10/28/2015"
202687,"Bismack Biyombo",1610612761,"TOR",1,1,0,15.72,15.72,5793,1.1,0.55,0.55,4.2,4.72,3.72,"10/28/2015"
201933,"Blake Griffin",1610612746,"LAC",1,1,0,38.25,38.25,12835,2.43,1.31,1.13,3.93,4.27,3.59,"10/28/2015"
202711,"Bojan Bogdanovic",1610612751,"BKN",1,0,1,28.73,28.73,10702,2.03,1.08,0.95,4.2,4.78,3.67,"10/28/2015"
2564,"Boris Diaw",1610612759,"SAS",1,0,1,20.13,20.13,7875,1.49,0.82,0.67,4.5,4.73,4.24,"10/28/2015"
203078,"Bradley Beal",1610612764,"WAS",1,1,0,37.6,37.6,15466,2.93,1.48,1.45,4.64,5.15,4.19,"10/28/2015"
201148,"Brandan Wright",1610612763,"MEM",1,0,1,16.68,16.68,5890,1.12,0.61,0.5,3.96,4.17,3.75,"10/28/2015"
101138,"Brandon Bass",1610612747,"LAL",1,0,1,17.18,17.18,6498,1.23,0.67,0.56,4.2,4.87,4.22,"10/28/2015"
202688,"Brandon Knight",1610612756,"PHX",1,0,1,34.42,34.42,13452,2.55,1.36,1.19,4.37,5.05,4.07,"10/28/2015"
203148,"Brian Roberts",1610612757,"POR",1,0,1,13.32,13.32,5203,0.99,0.6,0.38,4.65,5.15,4.06,"10/28/2015"
201572,"Brook Lopez",1610612751,"BKN",1,0,1,33.33,33.33,12117,2.29,1.14,1.15,4.15,4.15,4.14,"10/28/2015"
201228,"C.J. Watson",1610612753,"ORL",1,0,1,21.02,21.02,9089,1.72,0.96,0.76,4.86,5.88,4.46,"10/28/2015"
203468,"CJ McCollum",1610612757,"POR",1,1,0,37.38,37.38,14265,2.7,1.52,1.18,4.34,4.81,3.87,"10/28/2015"
101139,"CJ Miles",1610612754,"IND",1,0,1,35.67,35.67,11956,2.26,1.15,1.11,3.88,4.36,3.45,"10/28/2015"
2546,"Carmelo Anthony",1610612752,"NYK",1,1,0,29.27,29.27,9715,1.84,0.99,0.85,3.83,4.13,3.51,"10/28/2015"
2406,"Caron Butler",1610612758,"SAC",1,0,1,12.67,12.67,4687,0.89,0.53,0.36,4.27,4.19,4.37,"10/28/2015"
101111,"Charlie Villanueva",1610612742,"DAL",1,1,0,14.65,14.65,5667,1.07,0.57,0.5,4.51,4.87,4.14,"10/28/2015"
201978,"Chase Budinger",1610612756,"PHX",1,0,1,14.85,14.85,5475,1.04,0.53,0.51,4.05,4.04,4.05,"10/28/2015"
2547,"Chris Bosh",1610612748,"MIA",1,1,0,32.32,32.32,11326,2.15,1.12,1.03,3.92,4.27,3.6,"10/28/2015"
203142,"Chris Copeland",1610612749,"MIL",1,0,1,19.48,19.48,7007,1.33,0.69,0.64,4.01,4.34,3.66,"10/28/2015"
101108,"Chris Paul",1610612746,"LAC",1,1,0,36.57,36.57,13068,2.48,1.39,1.09,4.11,4.6,3.61,"10/28/2015"
1626174,"Christian Wood",1610612755,"PHI",1,0,1,5.6,5.6,2094,0.4,0.24,0.15,4.31,3.9,4.79,"10/28/2015"
203921,"Cleanthony Early",1610612752,"NYK",1,1,0,6.6,6.6,2033,0.39,0.22,0.17,4.32,4.21,4.45,"10/28/2015"
203991,"Clint Capela",1610612745,"HOU",1,0,1,24.92,24.92,9231,1.75,0.89,0.86,4.11,4.43,4.28,"10/28/2015"
203469,"Cody Zeller",1610612766,"CHA",1,0,1,29.98,29.98,12004,2.27,1.34,0.94,4.61,4.84,3.91,"10/28/2015"
202332,"Cole Aldrich",1610612746,"LAC",1,1,0,0.05,0.05,30,0.01,NA,0.01,0,0,0,"10/28/2015"
201147,"Corey Brewer",1610612745,"HOU",1,0,1,29.42,29.42,10390,1.97,1.11,0.86,4.09,4.45,3.71,"10/28/2015"
202709,"Cory Joseph",1610612761,"TOR",1,1,0,27.72,27.72,11031,2.09,1.13,0.96,4.55,4.52,4.59,"10/28/2015"
201584,"Courtney Lee",1610612766,"CHA",1,0,1,31.27,31.27,11148,2.11,1.13,0.98,4.04,4.41,3.69,"10/28/2015"
1626156,"D'Angelo Russell",1610612747,"LAL",1,0,1,25.83,25.83,9798,1.86,1.03,0.82,4.42,4.5,3.85,"10/28/2015"
