"","nameTable","typeMeasure","modeSearch","slugSeason","yearSeason","typeSeason","idPlayer","namePlayer","idPlayer1","typeFilter","gp","pctWins","fgm","fga","pctFG","fg3m","fg3a","pctFG3","pctFT","gpRank","pctWinsRank","minutesRank","fgmRank","fgaRank","pctFGRank","fg3mRank","fg3aRank","pctFG3Rank","pctFTRank","fg2m","fg2a","pctFG2","wins","losses","minutes","ftm","fta","oreb","dreb","treb","ast","tov","stl","blk","pf","pfd","pts","plusminus","fptsNBAActual","dd2","winsRank","lossesRank","rankFTM","rankFTA","orebRank","drebRank","trebRank","astRank","tovRank","stlRank","blkRank","blkaRank","pfRank","pfdRank","ptsRank","plusminusRank","fptsRank","dd2Rank","td3Rank","blka","td3","urlPlayerStats","urlPlayerThumbnail","urlPlayerHeadshot","urlPlayerActionPhoto","urlPlayerPhoto"
"4274","ByScoreMarginPlayerDashboard","Base","PerGame","2018-19",2019,"Regular Season",1629168,"BJ Johnson",1629168,"more than 20 Points",1,1,0,2,0,0,0,0,1,4,1,2,4,2,4,3,3,3,1,0,2,0,1,0,3.7,2,2,0,0,0,NA,0,0,NA,0,1,2,-6,2,NA,1,5,1,1,2,3,3,1,3,2,1,2,3,1,2,6,2,1,1,0,NA,"https://stats.nba.com/player/1629168","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629168.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629168.png","https://stats.nba.com/media/players/700/1629168.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"4275","ByActualMarginPlayerDashboard","Base","PerGame","2018-19",2019,"Regular Season",1629168,"BJ Johnson",1629168,"Behind 16 - 20 Points",1,0,1,1,1,0,0,0,0,5,6,7,2,4,1,3,5,3,2,1,1,1,0,1,0.8,0,0,0,0,0,NA,0,0,NA,0,0,2,2,2,NA,6,4,2,2,2,4,4,1,3,2,1,3,3,3,3,2,4,1,1,0,NA,"https://stats.nba.com/player/1629168","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629168.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629168.png","https://stats.nba.com/media/players/700/1629168.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"4276","ByActualMarginPlayerDashboard","Base","PerGame","2018-19",2019,"Regular Season",1629168,"BJ Johnson",1629168,"Behind 6 - 10 Points",4,0,0,0.3,0,0,0.3,0,0,2,6,5,5,6,5,3,4,3,2,0,0,0,0,4,1.3,0,0,0,0.3,0.3,NA,0.3,0,NA,0.3,0,0,2.3,0.1,NA,6,1,2,2,2,3,3,1,2,2,1,3,2,3,6,1,6,1,1,0,NA,"https://stats.nba.com/player/1629168","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629168.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629168.png","https://stats.nba.com/media/players/700/1629168.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"4277","ByActualMarginPlayerDashboard","Base","PerGame","2018-19",2019,"Regular Season",1629168,"BJ Johnson",1629168,"Behind 1 - 5 Points",5,0.2,0.8,1.8,0.444,0,0.6,0,0,1,5,4,4,3,4,3,3,3,2,0.8,1.2,0.666666666666667,1,4,3.6,0,0,0.4,0.6,1,NA,0,0,NA,0.6,0,1.6,-1,2.8,NA,1,1,2,2,1,2,1,1,3,2,1,2,1,3,5,4,3,1,1,0.2,NA,"https://stats.nba.com/player/1629168","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629168.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629168.png","https://stats.nba.com/media/players/700/1629168.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"4278","ByActualMarginPlayerDashboard","Base","PerGame","2018-19",2019,"Regular Season",1629168,"BJ Johnson",1629168,"Tied",2,0,0,0,0,0,0,0,0,3,6,8,5,7,5,3,5,3,2,0,0,0,0,2,0.6,0,0,0,0,0,NA,0,0,NA,0,0,0,-2,0,NA,6,3,2,2,2,4,4,1,3,2,1,3,3,3,6,5,7,1,1,0,NA,"https://stats.nba.com/player/1629168","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629168.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629168.png","https://stats.nba.com/media/players/700/1629168.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"4279","ByActualMarginPlayerDashboard","Base","PerGame","2018-19",2019,"Regular Season",1629168,"BJ Johnson",1629168,"Ahead 1 - 5 Points",2,0.5,1.5,2,0.75,1,1,1,0,3,4,2,1,1,3,1,1,1,2,0.5,1,0.5,1,1,4.3,0,0,0,1,1,NA,0.5,1,NA,0,0.5,4,1,7.7,NA,1,4,2,2,2,1,1,1,1,1,1,1,3,2,1,3,1,1,1,0.5,NA,"https://stats.nba.com/player/1629168","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629168.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629168.png","https://stats.nba.com/media/players/700/1629168.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"4280","ByActualMarginPlayerDashboard","Base","PerGame","2018-19",2019,"Regular Season",1629168,"BJ Johnson",1629168,"Ahead 6 - 10 Points",1,1,1,1,1,1,1,1,0,5,1,1,2,4,1,1,1,1,2,0,0,0,1,0,10.8,0,0,0,0,0,NA,0,0,NA,0,0,3,-10,3,NA,1,6,2,2,2,4,4,1,3,2,1,3,3,3,2,8,2,1,1,0,NA,"https://stats.nba.com/player/1629168","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629168.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629168.png","https://stats.nba.com/media/players/700/1629168.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"4281","ByActualMarginPlayerDashboard","Base","PerGame","2018-19",2019,"Regular Season",1629168,"BJ Johnson",1629168,"Ahead 11 - 15 Points",1,1,0,0,0,0,0,0,0,5,1,6,5,7,5,3,5,3,2,0,0,0,1,0,1,0,0,0,0,0,NA,0,0,NA,0,0,0,-4,0,NA,1,6,2,2,2,4,4,1,3,2,1,3,3,3,6,6,7,1,1,0,NA,"https://stats.nba.com/player/1629168","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629168.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629168.png","https://stats.nba.com/media/players/700/1629168.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"4282","ByActualMarginPlayerDashboard","Base","PerGame","2018-19",2019,"Regular Season",1629168,"BJ Johnson",1629168,"Ahead more than 20 Points",1,1,0,2,0,0,0,0,1,5,1,3,5,1,5,3,5,3,1,0,2,0,1,0,3.7,2,2,0,0,0,NA,0,0,NA,0,1,2,-6,2,NA,1,6,1,1,2,4,4,1,3,2,1,3,3,1,3,7,4,1,1,0,NA,"https://stats.nba.com/player/1629168","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629168.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629168.png","https://stats.nba.com/media/players/700/1629168.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"4283","ByHalfPlayerDashboard","Base","PerGame","2018-19",2019,"Regular Season",1629185,"Chris Chiozza",1629185,"Second Half",7,0.857,0.3,1.1,0.25,0.3,0.7,0.428571428571429,NA,1,1,1,1,1,1,1,1,1,1,NA,0.4,NA,6,1,4.6,NA,NA,0.1,0.4,0.6,0.6,0.1,0.1,0.1,0.3,0.1,0.9,-1.7,3.1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1,NA,"https://stats.nba.com/player/1629185","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629185.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629185.png","https://stats.nba.com/media/players/700/1629185.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
