Date,Team,Season,Month,Week,Opponent,Visitor,City,Win,Distance,Route,Rest,TZ,shift,direction,Latitude,Longitude,B2B,b2b_2nd,b2b_1st,three_in_four,four_in_five,five_in_seven,flight_duration,game_id,matchup,score_diff,traveling_west,traveling_east,avg_score_diff_home,avg_score_diff_away,adjusted_score_diff,w,l,w_lpercent,ps_g,pa_g,opp_win_percent,win_percent_diff
2019-10-23,Washington Wizards,2019-20,Oct,43,Dallas Mavericks,TRUE,Dallas,FALSE,1182,Washington - Dallas,15,America/Chicago,-1,West,32.79,-96.77,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.15,21900009,WAS @ DAL,-8,TRUE,FALSE,-1.8611111111111112,-7.472222222222222,-0.5277777777777777,0,1,0,100,108,1,-1
2019-10-24,Atlanta Hawks,2019-20,Oct,43,Detroit Pistons,TRUE,Detroit,TRUE,600,Atlanta - Detroit,15,America/Detroit,0,-,42.38,-83.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.09,21900014,ATL @ DET,17,FALSE,FALSE,-2.764705882352941,-13.333333333333334,30.333333333333336,1,0,1,117,100,0.5,0.5
2019-10-24,Detroit Pistons,2019-20,Oct,43,Atlanta Hawks,FALSE,Detroit,FALSE,240,Indianapolis - Detroit,0,America/Detroit,0,-,42.38,-83.1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,1,21900014,DET vs. ATL,-17,FALSE,FALSE,-2.0606060606060606,-5.0606060606060606,-14.93939393939394,1,1,0.5,109.5,113.5,1,-0.5
2019-10-24,Golden State Warriors,2019-20,Oct,43,Los Angeles Clippers,FALSE,San Francisco,FALSE,0,No Travel,15,America/Los_Angeles,0,-,37.77,-122.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21900016,GSW vs. LAC,-19,FALSE,FALSE,-8.705882352941176,-8.709677419354838,-10.294117647058824,0,1,0,122,141,1,-1
2019-10-24,Houston Rockets,2019-20,Oct,43,Milwaukee Bucks,FALSE,Houston,FALSE,0,No Travel,15,America/Chicago,0,-,29.77,-95.39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21900015,HOU vs. MIL,-6,FALSE,FALSE,5.472222222222222,0.4444444444444444,-11.472222222222221,0,1,0,111,117,1,-1
2019-10-24,Milwaukee Bucks,2019-20,Oct,43,Houston Rockets,TRUE,Houston,TRUE,1006,Milwaukee - Houston,15,America/Chicago,0,-,29.77,-95.39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.83,21900015,MIL @ HOU,6,FALSE,FALSE,13.314285714285715,7.105263157894737,-1.1052631578947372,1,0,1,117,111,0,1
2019-10-25,Boston Celtics,2019-20,Oct,43,Toronto Raptors,FALSE,Boston,TRUE,268,Philadelphia - Boston,1,America/New_York,0,-,42.34,-71.02,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,21900017,BOS vs. TOR,6,FALSE,FALSE,8.25,4.361111111111111,-2.25,1,1,0.5,102.5,106.5,0.5,0
2019-10-25,Brooklyn Nets,2019-20,Oct,43,New York Knicks,FALSE,New York,TRUE,0,No Travel,1,America/New_York,0,-,40.67,-73.94,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21900019,BKN vs. NYK,4,FALSE,FALSE,1.7777777777777777,-2.9166666666666665,2.2222222222222223,1,1,0.5,119.5,118,0,0.5
2019-10-25,Charlotte Hornets,2019-20,Oct,43,Minnesota Timberwolves,FALSE,Charlotte,FALSE,0,No Travel,1,America/New_York,0,-,35.2,-80.83,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,21900018,CHA vs. MIN,-22,FALSE,FALSE,-5.290322580645161,-8.088235294117647,-16.70967741935484,1,1,0.5,112.5,123,1,-0.5
2019-10-25,Chicago Bulls,2019-20,Oct,43,Memphis Grizzlies,TRUE,Memphis,TRUE,519,Charlotte - Memphis,1,America/Chicago,-1,West,35.11,-90.01,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,21900020,CHI @ MEM,8,TRUE,FALSE,-1.5,-4.806451612903226,12.806451612903226,1,1,0.5,117.5,114,0,0.5
