"player_id","date","player_name","team_id","team_abbreviation","gp","w","l","min.x","drives","drive_fgm","drive_fga","drive_fg_pct","drive_ftm","drive_fta","drive_ft_pct","drive_pts","drive_pts_pct","drive_passes","drive_passes_pct","drive_ast","drive_ast_pct","drive_tov","drive_tov_pct","drive_pf","drive_pf_pct","min.y","min1","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def"
101107,"12/29/2019","Marvin Williams",1610612749,"MIL",1,0,1,23.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.38,23.38,9618,1.82,0.97,0.86,4.35,4.7,4.46
101107,"12/31/2019","Marvin Williams",1610612749,"MIL",1,0,1,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.55,12.55,5042,0.95,0.53,0.43,4.43,4.1,3.85
101107,"12/4/2019","Marvin Williams",1610612749,"MIL",1,1,0,27.4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,27.35,27.35,9646,1.83,1,0.83,3.7,3.89,3.48
101107,"12/6/2019","Marvin Williams",1610612749,"MIL",1,0,1,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,15.73,5545,1.05,0.56,0.49,3.92,3.98,3.86
101107,"2/1/2020","Marvin Williams",1610612749,"MIL",1,0,1,23.6,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,23.63,23.63,9107,1.72,0.92,0.81,4.15,4.17,4.13
101107,"2/12/2020","Marvin Williams",1610612749,"MIL",1,0,1,19.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.57,19.57,8423,1.6,0.81,0.79,4.38,4.69,4.11
101107,"2/20/2020","Marvin Williams",1610612749,"MIL",1,1,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.68,8.68,NA,NA,NA,NA,NA,NA,NA
101107,"2/22/2020","Marvin Williams",1610612749,"MIL",1,1,0,19.5,1,1,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,19.45,19.45,7210,1.37,0.75,0.61,4.02,4.79,3.31
101107,"2/24/2020","Marvin Williams",1610612749,"MIL",1,1,0,22.3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,22.32,22.32,9086,1.72,0.93,0.79,4.28,4.33,4.22
101107,"2/25/2020","Marvin Williams",1610612749,"MIL",1,1,0,16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.18,16.18,6237,1.18,0.6,0.58,4.09,4.16,4.03
101107,"2/28/2020","Marvin Williams",1610612749,"MIL",1,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.98,15.98,6893,1.31,0.68,0.63,4.36,5.17,3.7
101107,"2/3/2020","Marvin Williams",1610612749,"MIL",1,0,1,17.5,2,0,0,0,0,0,0,0,0,2,1,1,0.5,0,0,0,0,17.53,17.53,6625,1.25,0.68,0.58,4.18,4.45,3.9
101107,"3/1/2020","Marvin Williams",1610612749,"MIL",1,1,0,19.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.62,19.62,7596,1.44,0.81,0.63,4.05,4.28,3.78
