"player_id","player_name","team_id","team_abbreviation","gp","w","l","min","drives","drive_fgm","drive_fga","drive_fg_pct","drive_ftm","drive_fta","drive_ft_pct","drive_pts","drive_pts_pct","drive_passes","drive_passes_pct","drive_ast","drive_ast_pct","drive_tov","drive_tov_pct","drive_pf","drive_pf_pct","date"
1889,"Andre Miller",1610612758,"SAC",1,0,1,10.4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"10/29/2014"
203460,"Andre Roberson",1610612760,"OKC",1,0,1,34.9,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"10/29/2014"
1905,"Andrei Kirilenko",1610612751,"BKN",1,0,1,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
101106,"Andrew Bogut",1610612744,"GSW",1,1,0,18.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
203952,"Andrew Wiggins",1610612750,"MIN",1,0,1,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
203461,"Anthony Bennett",1610612750,"MIN",1,0,1,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
201229,"Anthony Tolliver",1610612765,"DET",1,1,0,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
203462,"Archie Goodwin",1610612756,"PHX",1,1,0,9.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
201167,"Arron Afflalo",1610612757,"POR",1,1,0,39.8,5,0,1,0,0,0,0,0,0,3,0.6,0,0,1,0.2,0,0,"10/29/2014"
202340,"Avery Bradley",1610612738,"BOS",1,1,0,30.2,3,2,3,0.667,0,0,0,4,1.333,0,0,0,0,0,0,0,0,"10/29/2014"
203463,"Ben McLemore",1610612758,"SAC",1,0,1,26.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
2757,"Beno Udrih",1610612763,"MEM",1,1,0,14,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"10/29/2014"
202711,"Bojan Bogdanovic",1610612751,"BKN",1,0,1,26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
101138,"Brandon Bass",1610612738,"BOS",1,1,0,15.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
203561,"Brandon Davies",1610612755,"PHI",1,0,1,18,2,0,1,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,"10/29/2014"
201943,"Brandon Jennings",1610612765,"DET",1,0,1,19.8,8,1,2,0.5,0,0,0,2,0.25,6,0.75,0,0,0,0,0,0,"10/29/2014"
202688,"Brandon Knight",1610612756,"PHX",1,0,1,38.8,22,1,5,0.2,2,2,1,5,0.227,7,0.318,6,0.273,3,0.136,1,0.045,"10/29/2014"
203148,"Brian Roberts",1610612766,"CHA",1,1,0,14,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"10/29/2014"
203468,"CJ McCollum",1610612757,"POR",1,1,0,15.7,5,1,2,0.5,0,0,0,2,0.4,0,0,0,0,3,0.6,0,0,"10/29/2014"
101139,"CJ Miles",1610612754,"IND",1,1,0,33.2,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,"10/29/2014"
203946,"Cameron Bairstow",1610612741,"CHI",1,1,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
201171,"Carl Landry",1610612758,"SAC",1,0,1,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
2430,"Carlos Boozer",1610612747,"LAL",1,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10/29/2014"
