"team","w","l","w_lpercent","gb","pw","pl","ps_g","pa_g","date"
"Denver Nuggets","1","0","1.000","—","1","0","89.0","79.0","2014-10-30"
"Minnesota Timberwolves","1","1",".500","0.5","1","1","99.0","98.0","2014-10-30"
"Oklahoma City Thunder","0","2",".000","1.5","0","2","89.5","99.5","2014-10-30"
"Utah Jazz","0","2",".000","1.5","0","2","97.5","112.0","2014-10-30"
"Golden State Warriors*","1","0","1.000","—","1","0","95.0","77.0","2014-10-30"
"Los Angeles Clippers*","1","0","1.000","—","1","0","93.0","90.0","2014-10-30"
"Phoenix Suns","1","0","1.000","—","1","0","119.0","99.0","2014-10-30"
"Sacramento Kings","0","1",".000","1.0","0","1","77.0","95.0","2014-10-30"
"Los Angeles Lakers","0","2",".000","1.5","0","2","94.5","113.5","2014-10-30"
"Houston Rockets*","2","0","1.000","—","2","0","106.0","91.5","2014-10-30"
"New Orleans Pelicans*","1","0","1.000","0.5","1","0","101.0","84.0","2014-10-30"
"Memphis Grizzlies*","1","0","1.000","0.5","1","0","105.0","101.0","2014-10-30"
"San Antonio Spurs*","1","0","1.000","0.5","1","0","101.0","100.0","2014-10-30"
"Dallas Mavericks*","1","1",".500","1.0","2","0","110.0","101.5","2014-10-30"
"Toronto Raptors*","1","0","1.000","—","1","0","109.0","102.0","2014-10-31"
"Boston Celtics*","1","0","1.000","—","1","0","121.0","105.0","2014-10-31"
"New York Knicks","1","1",".500","0.5","0","2","87.5","97.0","2014-10-31"
"Brooklyn Nets*","0","1",".000","1.0","0","1","105.0","121.0","2014-10-31"
"Philadelphia 76ers","0","2",".000","1.5","0","2","86.0","98.0","2014-10-31"
"Cleveland Cavaliers*","1","1",".500","—","1","1","102.0","101.5","2014-10-31"
"Chicago Bulls*","1","1",".500","—","2","0","106.0","97.0","2014-10-31"
"Milwaukee Bucks*","1","1",".500","—","1","1","99.5","94.5","2014-10-31"
"Indiana Pacers","1","1",".500","—","1","1","96.0","94.0","2014-10-31"
"Detroit Pistons","0","2",".000","1.0","0","2","85.0","93.0","2014-10-31"
"Charlotte Hornets","1","0","1.000","—","1","0","108.0","106.0","2014-10-31"
"Miami Heat","1","0","1.000","—","1","0","107.0","95.0","2014-10-31"
"Washington Wizards*","1","1",".500","0.5","1","1","100.0","102.5","2014-10-31"
"Atlanta Hawks*","0","1",".000","1.0","0","1","102.0","109.0","2014-10-31"
"Orlando Magic","0","2",".000","1.5","0","2","91.0","103.0","2014-10-31"
"Denver Nuggets","1","0","1.000","—","1","0","89.0","79.0","2014-10-31"
"Portland Trail Blazers*","1","1",".500","0.5","1","1","100.0","96.0","2014-10-31"
"Minnesota Timberwolves","1","1",".500","0.5","1","1","99.0","98.0","2014-10-31"
"Oklahoma City Thunder","0","2",".000","1.5","0","2","89.5","99.5","2014-10-31"
"Utah Jazz","0","2",".000","1.5","0","2","97.5","112.0","2014-10-31"
"Los Angeles Clippers*","2","0","1.000","—","1","1","105.5","100.5","2014-10-31"
"Phoenix Suns","2","0","1.000","—","2","0","106.5","94.0","2014-10-31"
"Golden State Warriors*","1","0","1.000","0.5","1","0","95.0","77.0","2014-10-31"
"Sacramento Kings","1","1",".500","1.0","1","1","90.0","94.5","2014-10-31"
"Los Angeles Lakers","0","3",".000","2.5","0","3","100.0","115.0","2014-10-31"
"Houston Rockets*","2","0","1.000","—","2","0","106.0","91.5","2014-10-31"
"Memphis Grizzlies*","2","0","1.000","—","1","1","101.0","95.0","2014-10-31"
"New Orleans Pelicans*","1","0","1.000","0.5","1","0","101.0","84.0","2014-10-31"
"Dallas Mavericks*","1","1",".500","1.0","2","0","110.0","101.5","2014-10-31"
"San Antonio Spurs*","1","1",".500","1.0","1","1","95.0","97.0","2014-10-31"
"Toronto Raptors*","2","0","1.000","—","2","0","108.5","98.5","2014-11-1"
"Boston Celtics*","1","1",".500","1.0","1","1","105.5","104.5","2014-11-1"
"Brooklyn Nets*","1","1",".500","1.0","1","1","103.5","105.5","2014-11-1"
"New York Knicks","1","1",".500","1.0","0","2","87.5","97.0","2014-11-1"
"Philadelphia 76ers","0","3",".000","2.5","0","3","89.3","103.3","2014-11-1"
"Chicago Bulls*","2","1",".667","—","2","1","106.0","99.7","2014-11-1"
"Cleveland Cavaliers*","1","1",".500","0.5","1","1","102.0","101.5","2014-11-1"
"Milwaukee Bucks*","1","2",".333","1.0","1","2","98.7","99.0","2014-11-1"
"Indiana Pacers","1","2",".333","1.0","1","2","94.7","96.7","2014-11-1"
"Detroit Pistons","0","3",".000","2.0","1","2","86.7","96.0","2014-11-1"
"Miami Heat","2","0","1.000","—","2","0","110.5","95.5","2014-11-1"
"Washington Wizards*","2","1",".667","0.5","2","1","102.7","100.7","2014-11-1"
"Atlanta Hawks*","1","1",".500","1.0","1","1","102.0","100.5","2014-11-1"
"Charlotte Hornets","1","1",".500","1.0","1","1","88.5","88.5","2014-11-1"
"Orlando Magic","0","3",".000","2.5","0","3","92.3","104.7","2014-11-1"
"Portland Trail Blazers*","1","1",".500","—","1","1","100.0","96.0","2014-11-1"
"Denver Nuggets","1","1",".500","—","1","1","90.0","90.5","2014-11-1"
"Minnesota Timberwolves","1","2",".333","0.5","2","1","101.0","100.7","2014-11-1"
"Oklahoma City Thunder","1","2",".333","0.5","1","2","93.7","96.7","2014-11-1"
"Utah Jazz","1","2",".333","0.5","1","2","104.3","105.0","2014-11-1"
"Golden State Warriors*","2","0","1.000","—","2","0","111.0","90.5","2014-11-1"
"Los Angeles Clippers*","2","0","1.000","—","1","1","105.5","100.5","2014-11-1"
"Phoenix Suns","2","1",".667","0.5","1","2","101.3","102.0","2014-11-1"
"Sacramento Kings","1","1",".500","1.0","1","1","90.0","94.5","2014-11-1"
"Los Angeles Lakers","0","4",".000","3.0","0","4","101.0","118.0","2014-11-1"
"Houston Rockets*","3","0","1.000","—","3","0","105.3","91.0","2014-11-1"
"Memphis Grizzlies*","3","0","1.000","—","2","1","91.0","86.3","2014-11-1"
"Dallas Mavericks*","2","1",".667","1.0","2","1","109.7","102.3","2014-11-1"
"New Orleans Pelicans*","1","1",".500","1.5","1","1","102.5","96.5","2014-11-1"
"San Antonio Spurs*","1","1",".500","1.5","1","1","95.0","97.0","2014-11-1"
"Toronto Raptors*","2","1",".667","—","2","1","106.3","101.3","2014-11-2"
"New York Knicks","2","1",".667","—","1","2","90.3","95.7","2014-11-2"
"Boston Celtics*","1","1",".500","0.5","1","1","105.5","104.5","2014-11-2"
"Brooklyn Nets*","1","1",".500","0.5","1","1","103.5","105.5","2014-11-2"
"Philadelphia 76ers","0","3",".000","2.0","0","3","89.3","103.3","2014-11-2"
"Chicago Bulls*","2","1",".667","—","2","1","106.0","99.7","2014-11-2"
"Cleveland Cavaliers*","1","1",".500","0.5","1","1","102.0","101.5","2014-11-2"
"Milwaukee Bucks*","1","2",".333","1.0","1","2","98.7","99.0","2014-11-2"
"Indiana Pacers","1","2",".333","1.0","1","2","94.7","96.7","2014-11-2"
"Detroit Pistons","0","3",".000","2.0","1","2","86.7","96.0","2014-11-2"
"Miami Heat","3","0","1.000","—","2","1","109.3","97.7","2014-11-2"
"Washington Wizards*","2","1",".667","1.0","2","1","102.7","100.7","2014-11-2"
"Atlanta Hawks*","1","1",".500","1.5","1","1","102.0","100.5","2014-11-2"
"Charlotte Hornets","1","2",".333","2.0","1","2","90.0","91.0","2014-11-2"
"Orlando Magic","0","3",".000","3.0","0","3","92.3","104.7","2014-11-2"
"Denver Nuggets","1","1",".500","—","1","1","90.0","90.5","2014-11-2"
"Portland Trail Blazers*","1","2",".333","0.5","2","1","96.7","95.7","2014-11-2"
"Minnesota Timberwolves","1","2",".333","0.5","2","1","101.0","100.7","2014-11-2"
"Oklahoma City Thunder","1","2",".333","0.5","1","2","93.7","96.7","2014-11-2"
"Utah Jazz","1","2",".333","0.5","1","2","104.3","105.0","2014-11-2"
"Golden State Warriors*","3","0","1.000","—","3","0","105.7","90.3","2014-11-2"
"Los Angeles Clippers*","2","1",".667","1.0","2","1","101.0","99.7","2014-11-2"
"Phoenix Suns","2","1",".667","1.0","1","2","101.3","102.0","2014-11-2"
"Sacramento Kings","2","1",".667","1.0","1","2","92.7","93.7","2014-11-2"
"Los Angeles Lakers","0","4",".000","3.5","0","4","101.0","118.0","2014-11-2"
"Houston Rockets*","3","0","1.000","—","3","0","105.3","91.0","2014-11-2"
"Memphis Grizzlies*","3","0","1.000","—","2","1","91.0","86.3","2014-11-2"
"Dallas Mavericks*","2","1",".667","1.0","2","1","109.7","102.3","2014-11-2"
"New Orleans Pelicans*","1","1",".500","1.5","1","1","102.5","96.5","2014-11-2"
"San Antonio Spurs*","1","1",".500","1.5","1","1","95.0","97.0","2014-11-2"
"Toronto Raptors*","2","1",".667","—","2","1","106.3","101.3","2014-11-3"
"Brooklyn Nets*","2","1",".667","—","2","1","107.7","98.7","2014-11-3"
"New York Knicks","2","1",".667","—","1","2","90.3","95.7","2014-11-3"
"Boston Celtics*","1","2",".333","1.0","1","2","108.0","109.0","2014-11-3"
"Philadelphia 76ers","0","4",".000","2.5","1","3","90.3","103.5","2014-11-3"
"Chicago Bulls*","2","1",".667","—","2","1","106.0","99.7","2014-11-3"
"Cleveland Cavaliers*","1","1",".500","0.5","1","1","102.0","101.5","2014-11-3"
"Milwaukee Bucks*","1","2",".333","1.0","1","2","98.7","99.0","2014-11-3"
"Indiana Pacers","1","2",".333","1.0","1","2","94.7","96.7","2014-11-3"
"Detroit Pistons","0","3",".000","2.0","1","2","86.7","96.0","2014-11-3"
"Miami Heat","3","0","1.000","—","2","1","109.3","97.7","2014-11-3"
"Washington Wizards*","2","1",".667","1.0","2","1","102.7","100.7","2014-11-3"
"Atlanta Hawks*","1","1",".500","1.5","1","1","102.0","100.5","2014-11-3"
"Charlotte Hornets","1","2",".333","2.0","1","2","90.0","91.0","2014-11-3"
"Orlando Magic","0","3",".000","3.0","0","3","92.3","104.7","2014-11-3"
"Portland Trail Blazers*","1","2",".333","—","2","1","96.7","95.7","2014-11-3"
"Denver Nuggets","1","2",".333","—","1","2","95.0","97.0","2014-11-3"
"Minnesota Timberwolves","1","2",".333","—","2","1","101.0","100.7","2014-11-3"
"Oklahoma City Thunder","1","3",".250","0.5","1","3","91.5","101.5","2014-11-3"
"Utah Jazz","1","3",".250","0.5","2","2","103.5","105.5","2014-11-3"
"Golden State Warriors*","3","0","1.000","—","3","0","105.7","90.3","2014-11-3"
"Los Angeles Clippers*","3","1",".750","0.5","2","2","102.5","100.0","2014-11-3"
"Sacramento Kings","3","1",".750","0.5","2","2","97.0","96.5","2014-11-3"
"Phoenix Suns","2","1",".667","1.0","1","2","101.3","102.0","2014-11-3"
"Los Angeles Lakers","0","4",".000","3.5","0","4","101.0","118.0","2014-11-3"
"Houston Rockets*","4","0","1.000","—","3","1","105.0","91.5","2014-11-3"
"Memphis Grizzlies*","4","0","1.000","—","3","1","91.5","85.0","2014-11-3"
"Dallas Mavericks*","3","1",".750","1.0","3","1","111.8","105.0","2014-11-3"
"San Antonio Spurs*","1","1",".500","2.0","1","1","95.0","97.0","2014-11-3"
"New Orleans Pelicans*","1","2",".333","2.5","2","1","95.3","95.3","2014-11-3"
"Toronto Raptors*","3","1",".750","—","3","1","104.8","98.0","2014-11-4"
"Brooklyn Nets*","2","1",".667","0.5","2","1","107.7","98.7","2014-11-4"
"New York Knicks","2","2",".500","1.0","1","3","88.5","96.3","2014-11-4"
"Boston Celtics*","1","2",".333","1.5","1","2","108.0","109.0","2014-11-4"
"Philadelphia 76ers","0","4",".000","3.0","1","3","90.3","103.5","2014-11-4"
"Chicago Bulls*","3","1",".750","—","3","1","104.0","97.3","2014-11-4"
"Milwaukee Bucks*","2","2",".500","1.0","2","2","95.8","94.5","2014-11-4"
"Cleveland Cavaliers*","1","2",".333","1.5","1","2","95.3","101.3","2014-11-4"
"Indiana Pacers","1","3",".250","2.0","2","2","91.3","94.3","2014-11-4"
"Detroit Pistons","0","3",".000","2.5","1","2","86.7","96.0","2014-11-4"
"Washington Wizards*","3","1",".750","—","3","1","101.5","96.3","2014-11-4"
"Miami Heat","3","1",".750","—","3","1","104.8","100.3","2014-11-4"
"Atlanta Hawks*","1","1",".500","1.0","1","1","102.0","100.5","2014-11-4"
"Charlotte Hornets","1","3",".250","2.0","2","2","90.3","93.3","2014-11-4"
"Orlando Magic","0","4",".000","3.0","1","3","91.8","103.0","2014-11-4"
"Portland Trail Blazers*","2","2",".500","—","3","1","97.8","92.3","2014-11-4"
"Denver Nuggets","1","2",".333","0.5","1","2","95.0","97.0","2014-11-4"
"Minnesota Timberwolves","1","2",".333","0.5","2","1","101.0","100.7","2014-11-4"
"Utah Jazz","1","3",".250","1.0","2","2","103.5","105.5","2014-11-4"
"Oklahoma City Thunder","1","4",".200","1.5","1","4","90.8","101.2","2014-11-4"
"Golden State Warriors*","3","0","1.000","—","3","0","105.7","90.3","2014-11-4"
"Los Angeles Clippers*","3","1",".750","0.5","2","2","102.5","100.0","2014-11-4"
"Phoenix Suns","3","1",".750","0.5","2","2","104.0","103.0","2014-11-4"
"Sacramento Kings","3","1",".750","0.5","2","2","97.0","96.5","2014-11-4"
"Los Angeles Lakers","0","5",".000","4.0","1","4","102.0","116.8","2014-11-4"
"Houston Rockets*","5","0","1.000","—","4","1","105.6","91.4","2014-11-4"
"Memphis Grizzlies*","4","0","1.000","0.5","3","1","91.5","85.0","2014-11-4"
"Dallas Mavericks*","3","1",".750","1.5","3","1","111.8","105.0","2014-11-4"
"New Orleans Pelicans*","2","2",".500","2.5","2","2","96.5","94.3","2014-11-4"
"San Antonio Spurs*","1","1",".500","2.5","1","1","95.0","97.0","2014-11-4"
"Toronto Raptors*","4","1",".800","—","3","2","105.8","99.8","2014-11-5"
"Brooklyn Nets*","2","2",".500","1.5","3","1","103.5","98.5","2014-11-5"
"New York Knicks","2","3",".400","2.0","1","4","89.8","96.6","2014-11-5"
"Boston Celtics*","1","3",".250","2.5","2","2","107.8","109.3","2014-11-5"
"Philadelphia 76ers","0","5",".000","4.0","1","4","90.0","101.0","2014-11-5"
"Chicago Bulls*","4","1",".800","—","4","1","102.2","95.0","2014-11-5"
"Milwaukee Bucks*","2","3",".400","2.0","2","3","93.8","94.6","2014-11-5"
"Cleveland Cavaliers*","1","3",".250","2.5","1","3","96.5","101.5","2014-11-5"
"Detroit Pistons","1","3",".250","2.5","1","3","89.5","95.8","2014-11-5"
"Indiana Pacers","1","4",".200","3.0","2","3","91.8","94.6","2014-11-5"
"Washington Wizards*","4","1",".800","—","3","2","100.4","95.8","2014-11-5"
"Miami Heat","3","2",".600","1.0","3","2","101.6","99.4","2014-11-5"
"Charlotte Hornets","2","3",".400","2.0","2","3","91.4","92.4","2014-11-5"
"Atlanta Hawks*","1","2",".333","2.0","2","1","98.7","98.3","2014-11-5"
"Orlando Magic","1","4",".200","3.0","1","4","91.6","100.2","2014-11-5"
"Portland Trail Blazers*","2","2",".500","—","3","1","97.8","92.3","2014-11-5"
"Minnesota Timberwolves","2","2",".500","—","2","2","100.3","98.3","2014-11-5"
"Utah Jazz","2","3",".400","0.5","2","3","103.2","104.4","2014-11-5"
"Denver Nuggets","1","3",".250","1.0","1","3","98.5","105.5","2014-11-5"
"Oklahoma City Thunder","1","4",".200","1.5","1","4","90.8","101.2","2014-11-5"
"Golden State Warriors*","4","0","1.000","—","4","0","109.5","93.8","2014-11-5"
"Sacramento Kings","4","1",".800","0.5","3","2","103.8","99.0","2014-11-5"
"Los Angeles Clippers*","3","2",".600","1.5","2","3","102.8","104.2","2014-11-5"
"Phoenix Suns","3","2",".600","1.5","2","3","101.4","102.8","2014-11-5"
"Los Angeles Lakers","0","5",".000","4.5","1","4","102.0","116.8","2014-11-5"
"Houston Rockets*","5","0","1.000","—","4","1","105.6","91.4","2014-11-5"
"Memphis Grizzlies*","5","0","1.000","—","4","1","93.6","86.2","2014-11-5"
"Dallas Mavericks*","3","1",".750","1.5","3","1","111.8","105.0","2014-11-5"
"San Antonio Spurs*","2","1",".667","2.0","1","2","94.7","95.3","2014-11-5"
"New Orleans Pelicans*","2","2",".500","2.5","2","2","96.5","94.3","2014-11-5"
"Toronto Raptors*","4","1",".800","—","3","2","105.8","99.8","2014-11-6"
"Brooklyn Nets*","2","2",".500","1.5","3","1","103.5","98.5","2014-11-6"
"New York Knicks","2","3",".400","2.0","1","4","89.8","96.6","2014-11-6"
"Boston Celtics*","1","3",".250","2.5","2","2","107.8","109.3","2014-11-6"
"Philadelphia 76ers","0","5",".000","4.0","1","4","90.0","101.0","2014-11-6"
"Chicago Bulls*","4","1",".800","—","4","1","102.2","95.0","2014-11-6"
"Milwaukee Bucks*","2","3",".400","2.0","2","3","93.8","94.6","2014-11-6"
"Cleveland Cavaliers*","1","3",".250","2.5","1","3","96.5","101.5","2014-11-6"
"Detroit Pistons","1","3",".250","2.5","1","3","89.5","95.8","2014-11-6"
"Indiana Pacers","1","4",".200","3.0","2","3","91.8","94.6","2014-11-6"
"Washington Wizards*","4","1",".800","—","3","2","100.4","95.8","2014-11-6"
"Miami Heat","3","2",".600","1.0","3","2","101.6","99.4","2014-11-6"
"Charlotte Hornets","2","3",".400","2.0","2","3","91.4","92.4","2014-11-6"
"Atlanta Hawks*","1","2",".333","2.0","2","1","98.7","98.3","2014-11-6"
"Orlando Magic","1","4",".200","3.0","1","4","91.6","100.2","2014-11-6"
"Portland Trail Blazers*","3","2",".600","—","4","1","99.8","91.2","2014-11-6"
"Minnesota Timberwolves","2","2",".500","0.5","2","2","100.3","98.3","2014-11-6"
"Utah Jazz","2","3",".400","1.0","2","3","103.2","104.4","2014-11-6"
"Denver Nuggets","1","3",".250","1.5","1","3","98.5","105.5","2014-11-6"
"Oklahoma City Thunder","1","4",".200","2.0","1","4","90.8","101.2","2014-11-6"
"Golden State Warriors*","4","0","1.000","—","4","0","109.5","93.8","2014-11-6"
"Sacramento Kings","4","1",".800","0.5","3","2","103.8","99.0","2014-11-6"
"Los Angeles Clippers*","3","2",".600","1.5","2","3","102.8","104.2","2014-11-6"
"Phoenix Suns","3","2",".600","1.5","2","3","101.4","102.8","2014-11-6"
"Los Angeles Lakers","0","5",".000","4.5","1","4","102.0","116.8","2014-11-6"
"Houston Rockets*","6","0","1.000","—","5","1","104.3","89.7","2014-11-6"
"Memphis Grizzlies*","5","0","1.000","0.5","4","1","93.6","86.2","2014-11-6"
"Dallas Mavericks*","3","2",".600","2.5","3","2","106.8","105.6","2014-11-6"
"New Orleans Pelicans*","2","2",".500","3.0","2","2","96.5","94.3","2014-11-6"
"San Antonio Spurs*","2","2",".500","3.0","1","3","91.3","96.0","2014-11-6"
"Toronto Raptors*","5","1",".833","—","5","1","105.3","97.2","2014-11-7"
"Brooklyn Nets*","3","2",".600","1.5","4","1","104.8","98.6","2014-11-7"
"Boston Celtics*","2","3",".400","2.5","2","3","106.4","107.0","2014-11-7"
"New York Knicks","2","4",".333","3.0","1","5","91.3","98.8","2014-11-7"
"Philadelphia 76ers","0","6",".000","5.0","1","5","94.2","103.8","2014-11-7"
"Chicago Bulls*","5","1",".833","—","4","2","104.8","98.3","2014-11-7"
"Cleveland Cavaliers*","2","3",".400","2.5","2","3","99.2","101.4","2014-11-7"
"Detroit Pistons","2","3",".400","2.5","2","3","91.2","95.6","2014-11-7"
"Milwaukee Bucks*","2","4",".333","3.0","3","3","94.0","95.2","2014-11-7"
"Indiana Pacers","1","5",".167","4.0","2","4","92.8","95.7","2014-11-7"
"Washington Wizards*","4","2",".667","—","3","3","97.7","97.0","2014-11-7"
"Miami Heat","3","2",".600","0.5","3","2","101.6","99.4","2014-11-7"
"Charlotte Hornets","3","3",".500","1.0","3","3","96.5","96.8","2014-11-7"
"Orlando Magic","2","4",".333","2.0","2","4","95.0","100.7","2014-11-7"
"Atlanta Hawks*","1","3",".250","2.0","2","2","103.8","104.3","2014-11-7"
"Portland Trail Blazers*","3","2",".600","—","4","1","99.8","91.2","2014-11-7"
"Minnesota Timberwolves","2","3",".400","1.0","2","3","100.8","101.0","2014-11-7"
"Utah Jazz","2","4",".333","1.5","2","4","99.7","104.5","2014-11-7"
"Denver Nuggets","1","4",".200","2.0","1","4","99.0","106.4","2014-11-7"
"Oklahoma City Thunder","1","5",".167","2.5","1","5","90.5","99.5","2014-11-7"
"Golden State Warriors*","4","0","1.000","—","4","0","109.5","93.8","2014-11-7"
"Sacramento Kings","5","1",".833","—","4","2","105.5","101.2","2014-11-7"
"Los Angeles Clippers*","3","2",".600","1.5","2","3","102.8","104.2","2014-11-7"
"Phoenix Suns","3","3",".500","2.0","3","3","103.2","104.7","2014-11-7"
"Los Angeles Lakers","0","5",".000","4.5","1","4","102.0","116.8","2014-11-7"
"Houston Rockets*","6","0","1.000","—","5","1","104.3","89.7","2014-11-7"
"Memphis Grizzlies*","6","0","1.000","—","4","2","93.2","86.7","2014-11-7"
"Dallas Mavericks*","4","2",".667","2.0","4","2","106.5","101.7","2014-11-7"
"New Orleans Pelicans*","2","2",".500","3.0","2","2","96.5","94.3","2014-11-7"
"San Antonio Spurs*","2","2",".500","3.0","1","3","91.3","96.0","2014-11-7"
"Toronto Raptors*","5","1",".833","—","5","1","105.3","97.2","2014-11-8"
"Brooklyn Nets*","3","2",".600","1.5","4","1","104.8","98.6","2014-11-8"
"Boston Celtics*","3","3",".500","2.0","3","3","106.3","106.0","2014-11-8"
"New York Knicks","2","5",".286","3.5","2","5","92.0","99.4","2014-11-8"
"Philadelphia 76ers","0","6",".000","5.0","1","5","94.2","103.8","2014-11-8"
"Chicago Bulls*","5","2",".714","—","5","2","104.3","99.4","2014-11-8"
"Milwaukee Bucks*","3","4",".429","2.0","3","4","93.9","94.7","2014-11-8"
"Cleveland Cavaliers*","2","3",".400","2.0","2","3","99.2","101.4","2014-11-8"
"Detroit Pistons","2","3",".400","2.0","2","3","91.2","95.6","2014-11-8"
"Indiana Pacers","1","6",".143","4.0","3","4","92.4","95.9","2014-11-8"
"Washington Wizards*","5","2",".714","—","4","3","97.6","96.0","2014-11-8"
"Miami Heat","4","2",".667","0.5","4","2","101.7","98.2","2014-11-8"
"Charlotte Hornets","3","3",".500","1.5","3","3","96.5","96.8","2014-11-8"
"Atlanta Hawks*","2","3",".400","2.0","3","2","103.6","102.6","2014-11-8"
"Orlando Magic","2","4",".333","2.5","2","4","95.0","100.7","2014-11-8"
"Portland Trail Blazers*","3","3",".500","—","4","2","100.2","93.7","2014-11-8"
"Minnesota Timberwolves","2","4",".333","1.0","3","3","99.3","101.2","2014-11-8"
"Utah Jazz","2","4",".333","1.0","2","4","99.7","104.5","2014-11-8"
"Denver Nuggets","1","4",".200","1.5","1","4","99.0","106.4","2014-11-8"
"Oklahoma City Thunder","1","5",".167","2.0","1","5","90.5","99.5","2014-11-8"
"Golden State Warriors*","5","0","1.000","—","4","1","107.2","92.4","2014-11-8"
"Sacramento Kings","5","1",".833","0.5","4","2","105.5","101.2","2014-11-8"
"Los Angeles Clippers*","4","2",".667","1.5","3","3","103.3","103.8","2014-11-8"
"Phoenix Suns","3","3",".500","2.5","3","3","103.2","104.7","2014-11-8"
"Los Angeles Lakers","0","5",".000","5.0","1","4","102.0","116.8","2014-11-8"
"Houston Rockets*","6","1",".857","—","6","1","101.9","90.9","2014-11-8"
"Memphis Grizzlies*","6","1",".857","—","5","2","93.0","87.6","2014-11-8"
"Dallas Mavericks*","4","2",".667","1.5","4","2","106.5","101.7","2014-11-8"
"New Orleans Pelicans*","3","2",".600","2.0","3","2","97.2","95.2","2014-11-8"
