"team_id","team_abbreviation","team_name","gp","w","l","min","min1","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","date"
1610612742,"DAL","Dallas Mavericks",1,1,0,240,240,87387,16.55,8.87,7.68,4.16,4.53,3.8,"11/1/2014"
1610612743,"DEN","Denver Nuggets",1,0,1,240,240,86096,16.31,8.28,8.03,4.08,4.6,3.65,"11/1/2014"
1610612765,"DET","Detroit Pistons",1,0,1,240,240,86841,16.45,8.68,7.77,4.11,4.48,3.81,"11/1/2014"
1610612744,"GSW","Golden State Warriors",1,1,0,239.98,239.98,91279,17.29,8.82,8.47,4.29,4.87,3.82,"11/1/2014"
1610612745,"HOU","Houston Rockets",1,1,0,240,240,90605,17.16,9.21,7.95,4.31,4.49,4.07,"11/1/2014"
1610612754,"IND","Indiana Pacers",1,0,1,240,240,87886,16.65,9.94,6.7,4.16,4.23,4.05,"11/1/2014"
1610612747,"LAL","Los Angeles Lakers",1,0,1,240,240,90900,17.22,9.54,7.68,4.26,4.27,4.26,"11/1/2014"
1610612763,"MEM","Memphis Grizzlies",1,1,0,240.01,240.01,87672,16.6,9.16,7.45,4.19,4.43,3.93,"11/1/2014"
1610612748,"MIA","Miami Heat",1,1,0,240,240,91897,17.4,9.31,8.1,4.36,4.63,4.07,"11/1/2014"
1610612749,"MIL","Milwaukee Bucks",1,0,1,240,240,89488,16.95,8.76,8.19,3.87,4.25,3.58,"11/1/2014"
1610612750,"MIN","Minnesota Timberwolves",1,0,1,240,240,88365,16.74,8.71,8.02,4.17,4.49,3.88,"11/1/2014"
1610612740,"NOP","New Orleans Pelicans",1,0,1,240,240,89358,16.92,9.27,7.66,4.23,4.59,3.92,"11/1/2014"
1610612760,"OKC","Oklahoma City Thunder",1,1,0,240.01,240.01,87279,16.53,9.31,7.22,4.13,4.25,3.99,"11/1/2014"
1610612753,"ORL","Orlando Magic",1,0,1,240,240,88142,16.69,8.67,8.02,4.18,4.8,3.68,"11/1/2014"
1610612755,"PHI","Philadelphia 76ers",1,0,1,240,240,93488,17.71,9.55,8.15,4.43,4.83,4.08,"11/1/2014"
1610612756,"PHX","Phoenix Suns",1,0,1,240,240,88242,16.71,8.04,8.67,4.18,4.37,4.01,"11/1/2014"
1610612761,"TOR","Toronto Raptors",1,1,0,240,240,88024,16.67,9.27,7.4,4.18,4.27,4.08,"11/1/2014"
1610612762,"UTA","Utah Jazz",1,1,0,240,240,88817,16.82,9.81,7.02,4.2,4.52,3.83,"11/1/2014"
1610612764,"WAS","Washington Wizards",1,1,0,240,240,88519,16.76,9.2,7.56,3.85,4.01,3.67,"11/1/2014"
1610612766,"CHA","Charlotte Hornets",1,0,1,240,240,87563,16.58,9.47,7.11,4.16,4.61,3.67,"11/2/2014"
1610612744,"GSW","Golden State Warriors",1,1,0,240.01,240.01,89882,17.02,8.83,8.2,4.26,4.67,3.88,"11/2/2014"
1610612746,"LAC","Los Angeles Clippers",1,0,1,240,240,85055,16.11,8.54,7.56,4.03,4.24,3.81,"11/2/2014"
1610612748,"MIA","Miami Heat",1,1,0,240,240,87039,16.48,9.03,7.46,4.13,4.55,3.72,"11/2/2014"
1610612752,"NYK","New York Knicks",1,1,0,240,240,88836,16.83,8.76,8.07,4.21,4.55,3.93,"11/2/2014"
1610612757,"POR","Portland Trail Blazers",1,0,1,240,240,93407,17.69,9.81,7.88,4.43,4.64,4.2,"11/2/2014"
1610612758,"SAC","Sacramento Kings",1,1,0,240,240,84769,16.05,8.55,7.5,4.03,4.32,3.74,"11/2/2014"
1610612761,"TOR","Toronto Raptors",1,0,1,240.02,240.02,86933,16.46,8.7,7.76,4.13,4.31,3.95,"11/2/2014"
1610612738,"BOS","Boston Celtics",1,0,1,240.01,240.01,91085,17.25,8.97,8.28,4.33,4.81,3.91,"11/3/2014"
1610612751,"BKN","Brooklyn Nets",1,1,0,240,240,86123,16.31,8.36,7.95,4.06,4.5,3.72,"11/3/2014"
1610612742,"DAL","Dallas Mavericks",1,1,0,240.01,240.01,88816,16.82,9.23,7.59,4.21,4.35,4.06,"11/3/2014"
1610612743,"DEN","Denver Nuggets",1,0,1,240.01,240.01,87821,16.63,8.1,8.53,4.16,4.68,3.76,"11/3/2014"
1610612745,"HOU","Houston Rockets",1,1,0,240,240,88394,16.74,9.18,7.56,4.18,4.41,3.99,"11/3/2014"
1610612746,"LAC","Los Angeles Clippers",1,1,0,240.01,240.01,86979,16.47,8.3,8.17,4.13,4.32,3.95,"11/3/2014"
1610612763,"MEM","Memphis Grizzlies",1,1,0,240,240,87616,16.59,9.27,7.32,4.16,4.39,3.89,"11/3/2014"
1610612740,"NOP","New Orleans Pelicans",1,0,1,240,240,88530,16.77,8.8,7.96,4.21,4.69,3.78,"11/3/2014"
1610612760,"OKC","Oklahoma City Thunder",1,0,1,240,240,87579,16.59,9.24,7.35,4.15,4.3,3.98,"11/3/2014"
