"team_id","team_abbreviation","team_name","gp","w","l","min","min1","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","date","Team"
1610612738,"BOS","Boston Celtics",1,0,1,240,240,89041,16.86,8.68,8.18,4,4.4,3.65,2020-03-06,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240,240,90670,17.17,9.5,7.67,4.2,4.56,3.83,2019-10-25,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240.01,240.01,94520,17.9,9.51,8.4,4.26,4.81,3.77,2019-11-05,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240,240,91626,17.35,9.57,7.79,4.06,4.3,3.8,2020-03-10,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240,240,86159,16.32,8.5,7.82,3.84,4.18,3.53,2020-02-26,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,0,1,240,240,92346,17.49,9.06,8.43,4.06,4.51,3.67,2019-11-22,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,239.98,239.98,90069,17.06,9.22,7.83,4,4.43,3.55,2019-12-22,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,0,1,239.99,239.99,94178,17.84,9.52,8.31,4.17,4.42,3.92,2020-01-06,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,0,1,240.01,240.01,90629,17.16,9.01,8.15,4.01,4.46,3.61,2019-12-12,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,0,1,240,240,91915,17.41,9.11,8.3,4.07,4.42,3.74,2020-08-04,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,0,1,240.03,240.03,95931,18.17,9.68,8.49,4.2,4.47,3.92,2020-01-26,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240,240,93869,17.78,9.86,7.91,4.17,4.42,3.89,2019-12-27,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240,240,91626,17.35,9.16,8.19,4.07,4.37,3.78,2020-01-24,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240,240,91944,17.41,9.26,8.15,4.08,4.4,3.81,2019-12-31,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240.01,240.01,91749,17.38,9.01,8.37,4.03,4.28,3.8,2020-02-03,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240.02,240.02,92921,17.6,9.2,8.4,4.09,4.42,3.79,2020-01-28,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240,240,93335,17.68,9.45,8.23,4.14,4.45,3.8,2019-12-04,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240,240,91975,17.42,9.43,7.99,4.12,4.33,3.89,2019-11-18,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,0,1,240,240,95874,18.16,9.32,8.84,4.23,4.7,3.79,2020-01-18,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240,240,91204,17.27,9.26,8.02,4.01,4.47,3.59,2019-11-25,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240,240,94893,17.97,9.63,8.35,4.2,4.46,3.9,2020-08-07,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240,240,92525,17.52,9,8.52,4.05,4.36,3.76,2020-01-03,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240,240,94859,17.97,9.68,8.29,4.18,4.4,3.94,2019-12-20,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,0,1,240,240,90735,17.18,8.87,8.32,4.02,4.46,3.64,2019-12-28,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240,240,95408,18.07,9.55,8.52,4.27,4.59,3.91,2019-11-15,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,0,1,240.03,240.03,92870,17.59,9.07,8.51,4.12,4.44,3.82,2019-11-17,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240,240,89920,17.03,8.96,8.07,3.95,4.37,3.61,2020-03-04,"Boston Celtics"
1610612738,"BOS","Boston Celtics",1,1,0,240,240,92356,17.49,9.46,8.03,4.16,4.3,4.01,2020-02-05,"Boston Celtics"
